year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	17	07	11	52	Rille3000	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[37, 72, -21]
2018	11	17	11	50	50	Rille3000	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	21	02	27	13	Phantom_Ark	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	23	11	30	13	Mowilag	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[37, 72, -21]
2018	11	23	11	50	19	rubez	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	23	22	41	56	Phantom_Ark	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	24	20	53	52	Mowilag	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[37, 72, -21]
2018	11	25	00	12	50	TheEzieDawg	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	25	23	22	29	Phantom_Ark	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	27	21	28	02	FlyingDuckFace	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	28	04	00	31	freakdown	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	11	29	22	16	49	Phantom_Ark	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[50, 72, -6]
2018	12	02	16	18	51	ArcherV0	K9us	Diamond Pickaxe#5V	16000.0	16000.0	1	world	[46, 72, -6]
2018	12	09	14	12	24	MemeKingAwesome	K9us	Diamond Pickaxe#5V	10000.0	10000.0	1	world	[46, 72, -6]
2018	12	25	12	36	07	intrepidca	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[46, 72, -6]
2018	12	26	07	53	30	Impression28	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2018	12	28	05	46	03	NorraLigan	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2018	12	31	17	24	49	magemagemege	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[46, 72, -6]
2018	12	31	19	28	50	magemagemege	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[46, 72, -6]
2018	12	31	21	11	51	Edwarrdd	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	01	02	12	23	57	Downhilldriver	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	01	19	12	31	28	Psyper77	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	01	26	11	53	40	EnDristON	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	01	30	21	30	59	Magranon	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	01	31	16	01	45	nilssssss	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	02	12	13	09	54	EnDristON	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	02	13	02	46	54	Vallenius	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
2019	02	13	02	46	57	Vallenius	K9us	Diamond Pickaxe#5V	5000.0	5000.0	1	world	[37, 72, -21]
