date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/19 12:40:27	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/01/19 12:40:28	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/01/19 12:40:30	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/02 18:05:19	JacobSterling	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/03 16:02:52	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/04 19:37:39	JacobSterling	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/12 16:47:16	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/13 14:50:11	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/14 21:03:37	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/14 21:03:39	Mowilag	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/15 12:21:27	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/20 16:25:02	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/02/22 00:30:58	Mr_Digs	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/03 09:09:19	Miljanee	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/04 14:10:59	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/04 14:11:04	Vallenius	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/07 21:25:32	coconewell92	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/07 23:08:46	ezrone	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/08 10:09:03	Heronproject	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/09 14:31:37	EnDristON	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/10 13:56:06	Miljanee	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/10 20:54:06	ezrone	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/10 21:25:39	Lego_UOE	K9us	Diamond Pickaxe#7I	37200.0	37200.0	1	world	[29, 83, -21]
2019/03/12 15:26:55	Vallenius	K9us	Diamond Pickaxe#7I	36300.0	36300.0	1	world	[29, 83, -21]
2019/03/14 17:53:29	ezrone	K9us	Diamond Pickaxe#7I	36300.0	36300.0	1	world	[29, 83, -21]
2019/03/14 18:50:12	ezrone	K9us	Diamond Pickaxe#7I	36300.0	36300.0	1	world	[29, 83, -21]
2019/03/15 18:13:59	ezrone	K9us	Diamond Pickaxe#7I	36300.0	36300.0	1	world	[29, 83, -21]
