year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	24	07	19	08	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	24	07	19	12	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	24	07	19	13	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	24	07	19	13	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	24	07	19	14	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	27	55	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	27	56	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	27	58	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	27	59	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	27	59	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	00	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	01	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	01	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	02	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	02	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	19	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	28	20	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	29	34	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	25	10	29	35	K9us	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	27	12	03	23	Aewheros	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
2018	10	28	00	30	05	MiChupacabaras	sharonclaws	Diamond Sword#3j	12000.0	12000.0	1	world	[-9, 66, 18]
