date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/03 16:46:53	Shahayhay	sharonclaws	Diamond Sword#4	18000.0	18000.0	1	world	[-10, 64, 10]
2018/09/05 00:36:46	Haksndot	sharonclaws	Diamond Sword#4	18000.0	18000.0	1	world	[-10, 64, 10]
2018/09/05 13:11:33	K9us	sharonclaws	Diamond Sword#4	18000.0	18000.0	1	world	[-10, 64, 10]
2018/09/05 16:33:23	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/05 16:45:07	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/06 05:31:14	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/08 07:01:57	BredeBertil	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/08 08:05:10	pudzo	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/13 15:47:32	K9us	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/14 11:45:32	DjungelJarl	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/18 07:18:20	K9us	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/18 19:17:19	Shahayhay	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/20 17:26:01	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/26 13:39:09	Jesper1972	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/27 13:21:58	Ture2012	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/27 13:32:21	K9us	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/28 08:55:54	Jesper1972	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/28 17:24:14	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-10, 64, 10]
2018/09/30 13:06:37	AteUrC00ki35	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-11, 64, 13]
2018/09/30 13:06:40	AteUrC00ki35	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-11, 64, 13]
2018/10/02 19:48:54	Haksndot	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-11, 64, 13]
2018/10/03 05:40:28	K9us	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-11, 64, 13]
2018/10/03 14:21:53	Jesper1972	sharonclaws	Diamond Sword#4	14000.0	14000.0	1	world	[-11, 64, 13]
2018/10/04 01:12:54	AteUrC00ki35	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-12, 65, 13]
2018/10/05 04:06:00	K9us	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-12, 65, 13]
2018/10/05 04:06:01	K9us	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-12, 65, 13]
2018/10/05 04:06:03	K9us	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-12, 65, 13]
2018/10/10 16:00:07	Stormrunners	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-9, 66, 18]
2018/10/12 22:48:19	AteUrC00ki35	sharonclaws	Diamond Sword#4	12000.0	12000.0	1	world	[-9, 66, 18]
