year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	29	19	10	21	AspenGamgee	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	01	29	19	20	50	Talrinion	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	01	30	08	20	32	monkeyboy448	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	01	30	21	44	24	japanimator	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	02	16	31	37	UnToasted	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	02	18	25	54	JacobSterling	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	02	23	50	17	coconewell92	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	10	23	40	15	Talrinion	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	13	12	22	39	Vallenius	K9us	Diamond Sword#8d	5000.0	5000.0	1	world	[39, 72, -21]
2019	02	17	13	31	25	Miljanee	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	02	24	09	36	55	Dinonanna	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	03	09	07	17	Miljanee	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	06	17	45	28	ezrone	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	07	21	55	57	Lego_UOE	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	10	21	56	31	Colonel_Ruff	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	12	13	31	13	Miljanee	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	14	22	28	04	ezrone	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	15	18	14	38	ezrone	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	24	14	48	17	ezrone	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	26	01	30	29	dandenoth	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	28	16	40	18	ezrone	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	03	29	23	57	17	Cesium_Knight	K9us	Diamond Sword#8d	9000.0	9000.0	1	world_nether	[-239, 107, 184]
2019	03	30	22	18	57	TheGrimShow	K9us	Diamond Sword#8d	3000.0	3000.0	1	world	[39, 72, -21]
2019	05	17	12	05	11	pepparkaksgubbe	K9us	Diamond Sword#8d	9000.0	9000.0	1	world_nether	[-239, 107, 184]
