date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/02 22:42:14	nilssssss	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/02/02 22:42:15	nilssssss	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/02/07 23:53:24	nilssssss	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/05/03 06:29:29	frozenhammerz	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/05/03 06:29:29	frozenhammerz	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/05/03 06:29:30	frozenhammerz	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:39	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:40	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:40	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:42	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:43	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:43	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:44	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/06/29 18:51:45	jackcam6	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/07/03 14:43:30	Oaken_Ralph	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
2019/07/03 14:43:32	Oaken_Ralph	K9us	Dropper	5.6	5.6	1	world	[-1855, 18, 1608]
