year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	05	21	44	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	05	21	45	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	07	38	25	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	07	38	26	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	09	11	13	Heronproject	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	10	04	21	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	10	04	21	NullCase	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	16	33	17	Cardano_ff	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	22	05	26	Remixster	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	01	22	05	28	Remixster	__Wildfire_	Egg	6.25	100.0	16	world	[33, 71, 5]
2018	09	02	00	01	11	Combat_Biscuit	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	02	04	41	52	gillsmoke	__Wildfire_	Egg	3.125	50.0	16	world	[32, 71, 5]
2018	09	02	14	42	40	33_Shikamaru	__Wildfire_	Egg	3.125	50.0	16	world	[32, 71, 5]
2018	09	02	16	02	57	Combat_Biscuit	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	17	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	19	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	19	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	33	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	34	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	42	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	26	53	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	12	28	24	AnarchoMax	Srood	Egg	0.625	1.25	2	world	[38, 72, -142]
2018	09	04	12	31	05	AnarchoMax	Srood	Egg	0.63	0.63	1	world	[38, 72, -142]
2018	09	04	12	34	13	AnarchoMax	Srood	Egg	0.6266666666666666	1.88	3	world	[38, 72, -142]
2018	09	04	12	44	43	AnarchoMax	__Wildfire_	Egg	3.125	25.0	8	world	[32, 71, 5]
2018	09	04	14	44	02	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	14	44	03	spfoia	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	04	15	17	57	Threethan	Srood	Egg	0.625	10.0	16	world	[38, 72, -142]
2018	09	05	04	56	59	spfoia	__Wildfire_	Egg	3.1254545454545455	34.38	11	world	[32, 71, 5]
2018	09	05	06	14	37	Baskerboss	__Wildfire_	Egg	3.125	50.0	16	world	[32, 71, 5]
2018	09	05	06	14	38	Baskerboss	__Wildfire_	Egg	3.125	50.0	16	world	[32, 71, 5]
2018	09	05	06	14	40	Baskerboss	__Wildfire_	Egg	3.125	50.0	16	world	[32, 71, 5]
2018	09	08	16	52	01	PizzaJon	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	08	16	52	02	PizzaJon	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	08	16	52	04	PizzaJon	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	10	22	16	04	Mr_Digs	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	10	22	16	09	Mr_Digs	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	10	22	16	12	Mr_Digs	WoopidyDoopidy	Egg	2.5	40.0	16	world	[-49, 65, 32]
2018	09	29	16	54	38	Shahayhay	Srood	Egg	0.3125	5.0	16	world	[38, 73, -143]
2018	09	29	16	54	39	Shahayhay	Srood	Egg	0.3125	5.0	16	world	[38, 73, -143]
