year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	21	14	34	45	Heronproject	sharonclaws	Emerald Ore	200.0	200.0	1	world	[-14, 58, 15]
2019	04	20	15	02	18	NullCase	sharonclaws	Emerald Ore	350.0	350.0	1	world	[-14, 58, 15]
2019	05	03	17	22	42	daboogaoogaman	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	03	17	22	42	daboogaoogaman	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	03	17	22	43	daboogaoogaman	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	04	09	28	46	K9us	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	04	09	28	47	K9us	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	04	09	28	48	K9us	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	04	09	28	49	K9us	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	04	09	28	49	K9us	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
2019	05	13	00	03	47	NullCase	sharonclaws	Emerald Ore	800.0	51200.0	64	world	[-14, 58, 15]
2019	05	28	16	59	20	NullCase	sharonclaws	Emerald Ore	800.0	4800.0	6	world	[-14, 58, 15]
2019	06	12	15	59	52	Oaken_Ralph	sharonclaws	Emerald Ore	800.0	800.0	1	world	[-14, 58, 15]
