year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	13	11	57	37	frozenhammerz	sharonclaws	Emerald	300.0	300.0	1	world	[-12, 64, 10]
2018	09	14	02	28	41	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	28	42	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	28	43	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	28	44	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	28	45	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	52	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	52	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	53	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	53	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	56	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	57	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	59	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	29	59	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	30	00	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	30	01	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	09	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	10	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	10	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	11	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	11	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	14	02	31	13	ersi	sharonclaws	Emerald	300.0	300.0	1	world	[-14, 64, 14]
2018	09	16	06	13	34	ersi	sharonclaws	Emerald	450.0	450.0	1	world	[-14, 64, 14]
2018	09	30	10	08	25	MajaAstrid	DjungelJarl	Emerald	450.0	450.0	1	world	[58, 71, -15]
2018	09	30	10	08	28	MajaAstrid	DjungelJarl	Emerald	450.0	450.0	1	world	[58, 71, -15]
2018	09	30	23	01	41	Dragonslair7	sharonclaws	Emerald	550.0	550.0	1	world	[-8, 64, 9]
2018	10	05	19	05	14	Dragonslair7	sharonclaws	Emerald	350.0	350.0	1	world	[-8, 64, 9]
2018	10	12	00	06	23	pudzo	sharonclaws	Emerald	300.0	19200.0	64	world	[-8, 64, 9]
2018	10	16	16	09	38	Mr_Digs	__Wildfire_	Emerald	300.0	300.0	1	world	[34, 71, 14]
2018	11	04	01	01	49	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	01	49	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	02	17	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	02	17	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	02	41	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	02	42	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	03	07	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	03	08	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	04	01	03	57	NullCase	sharonclaws	Emerald	200.0	12800.0	64	world	[-8, 64, 9]
2018	11	07	11	27	12	Meiloorun	DjungelJarl	Emerald	300.0	19200.0	64	world	[58, 71, -15]
2018	11	07	11	27	15	Meiloorun	DjungelJarl	Emerald	300.0	19200.0	64	world	[58, 71, -15]
2018	11	10	04	29	32	Heronproject	sharonclaws	Emerald	200.0	200.0	1	world	[-8, 64, 9]
2018	11	10	04	29	34	Heronproject	sharonclaws	Emerald	200.0	200.0	1	world	[-8, 64, 9]
2018	11	10	04	29	35	Heronproject	sharonclaws	Emerald	200.0	200.0	1	world	[-8, 64, 9]
