year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	14	13	37	47	__Wildfire_	K9us	Enchanted Book#1D	6500.0	6500.0	1	world	[47, 72, -26]
2018	10	14	13	37	47	__Wildfire_	K9us	Enchanted Book#1D	6500.0	6500.0	1	world	[47, 72, -26]
2018	10	14	13	37	48	__Wildfire_	K9us	Enchanted Book#1D	6500.0	6500.0	1	world	[47, 72, -26]
2019	10	30	00	31	39	NullCase	Remix_D_Miner	Enchanted Book#1D	1500.0	1500.0	1	world	[57, 88, 26]
2019	11	03	17	39	50	daboogaoogaman	Remix_D_Miner	Enchanted Book#1D	1500.0	1500.0	1	world	[57, 88, 26]
2020	01	06	14	10	46	jtl0350	Vallenius	Enchanted Book#1D	1299.0	1299.0	1	world	[3, 59, 7]
2020	02	25	12	06	55	xX69bigchungusXx	Vallenius	Enchanted Book#1D	1299.0	1299.0	1	world	[3, 59, 7]
2020	02	27	12	36	52	peaceful_sl	Vallenius	Enchanted Book#1D	1299.0	1299.0	1	world	[3, 59, 7]
2020	02	27	19	34	38	Minarchu	Remix_D_Miner	Enchanted Book#1D	1500.0	1500.0	1	world	[57, 88, 26]
2020	03	27	16	57	20	KnobbyWaffle	Vallenius	Enchanted Book#1D	1299.0	1299.0	1	world	[3, 59, 7]
