year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	23	15	55	49	KromeNinja	K9us	Enchanted Book#1d	6500.0	6500.0	1	world	[43, 73, -21]
2018	09	28	17	11	11	Haksndot	K9us	Enchanted Book#1d	6500.0	6500.0	1	world	[43, 73, -21]
2018	09	28	19	02	51	Haksndot	K9us	Enchanted Book#1d	6500.0	6500.0	1	world	[43, 73, -21]
2018	10	02	19	36	15	Haksndot	K9us	Enchanted Book#1d	6500.0	6500.0	1	world	[43, 73, -21]
2018	10	07	10	06	37	Vrael1	K9us	Enchanted Book#1d	3000.0	3000.0	1	world	[43, 73, -21]
2018	10	14	14	12	13	__Wildfire_	K9us	Enchanted Book#1d	3000.0	3000.0	1	world	[43, 73, -21]
2018	10	14	14	12	13	__Wildfire_	K9us	Enchanted Book#1d	3000.0	3000.0	1	world	[43, 73, -21]
2019	04	04	04	26	35	dandenoth	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world_the_end	[279, 4, -1]
2019	04	06	16	08	38	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	06	17	04	26	_swedish	K9us	Enchanted Book#1d	2000.0	2000.0	1	world	[38, 63, -56]
2019	04	09	01	44	22	dandenoth	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	17	13	19	13	Mathemagician4	K9us	Enchanted Book#1d	2000.0	2000.0	1	world	[38, 63, -56]
2019	04	20	16	01	42	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	20	18	53	27	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	20	21	42	27	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	21	23	19	19	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	28	13	25	51	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	04	29	22	29	31	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	05	03	01	20	13	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	05	03	16	54	05	daboogaoogaman	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world_the_end	[279, 4, -1]
2019	05	06	19	54	17	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	05	11	21	21	35	coconewell92	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	05	17	12	47	47	daboogaoogaman	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world_the_end	[279, 4, -1]
2019	05	26	14	48	48	daboogaoogaman	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world_the_end	[279, 4, -1]
2019	05	27	13	20	19	daboogaoogaman	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world_the_end	[279, 4, -1]
2019	06	06	13	44	23	Oaken_Ralph	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world	[9, 58, 7]
2019	06	06	20	00	37	Oaken_Ralph	sharonclaws	Enchanted Book#1d	3000.0	3000.0	1	world	[9, 58, 7]
2019	06	20	17	03	51	RyanJG	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	06	30	20	52	53	sparkXstorm	K9us	Enchanted Book#1d	440.0	440.0	1	world	[45, 52, -56]
2019	07	01	11	14	54	jackcam6	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	07	01	11	18	09	jackcam6	K9us	Enchanted Book#1d	440.0	440.0	1	world	[45, 52, -56]
2019	07	01	12	43	59	SilverBearClaw	K9us	Enchanted Book#1d	440.0	440.0	1	world	[45, 52, -56]
2019	07	09	19	43	39	kuraudosukei	K9us	Enchanted Book#1d	440.0	440.0	1	world	[45, 52, -56]
2019	07	12	12	12	29	Dredhounds	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
2019	07	13	18	39	06	Mongoose_136	__Wildfire_	Enchanted Book#1d	1900.0	1900.0	1	world	[36, 78, 10]
