date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/01 22:45:45	__Wildfire_	K9us	Enchanted Book#2a	16900.0	16900.0	1	world	[30, 71, -23]
2018/10/05 02:43:39	__Wildfire_	K9us	Enchanted Book#2a	15900.0	15900.0	1	world	[30, 71, -23]
2018/10/09 23:21:13	PizzaJon	K9us	Enchanted Book#2a	7500.0	7500.0	1	world	[30, 71, -23]
2018/10/14 10:54:43	__Wildfire_	K9us	Enchanted Book#2a	7500.0	7500.0	1	world	[30, 71, -23]
2018/10/14 10:54:44	__Wildfire_	K9us	Enchanted Book#2a	7500.0	7500.0	1	world	[30, 71, -23]
2018/10/14 10:54:45	__Wildfire_	K9us	Enchanted Book#2a	7500.0	7500.0	1	world	[30, 71, -23]
2018/10/18 17:04:31	__Wildfire_	sharonclaws	Enchanted Book#2a	7000.0	7000.0	1	world	[-12, 65, 13]
2018/10/18 17:13:00	__Wildfire_	sharonclaws	Enchanted Book#2a	7000.0	7000.0	1	world	[-12, 65, 13]
2018/10/18 17:13:01	__Wildfire_	sharonclaws	Enchanted Book#2a	7000.0	7000.0	1	world	[-12, 65, 13]
2019/04/06 16:07:19	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/06 16:07:52	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/20 18:56:23	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/20 21:42:53	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/20 21:42:54	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/21 23:23:34	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/21 23:23:36	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/26 16:34:32	magemagemege	K9us	Enchanted Book#2a	2600.0	2600.0	1	world	[37, 63, -47]
2019/04/28 13:24:50	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/28 13:24:50	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/29 22:30:57	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/29 22:30:58	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/04/29 23:34:55	AshGreninja2579	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/05/03 01:19:38	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/05/03 01:19:39	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/05/06 19:54:07	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/05/06 19:54:08	coconewell92	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
2019/05/27 14:25:15	Vivifoxx	sharonclaws	Enchanted Book#2a	6000.0	6000.0	1	world	[-7, 58, 7]
2019/05/27 14:25:18	Vivifoxx	sharonclaws	Enchanted Book#2a	6000.0	6000.0	1	world	[-7, 58, 7]
2019/05/31 15:46:46	magemagemege	K9us	Enchanted Book#2a	2600.0	2600.0	1	world	[37, 63, -47]
2019/06/03 09:16:29	frozenhammerz	K9us	Enchanted Book#2a	2600.0	2600.0	1	world	[37, 63, -47]
2019/06/03 09:18:30	frozenhammerz	__Wildfire_	Enchanted Book#2a	2500.0	2500.0	1	world	[33, 78, 7]
