year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	01	02	21	58	AteUrC00ki35	sharonclaws	Enchanted Book#37	32000.0	32000.0	1	world	[-15, 66, 15]
2018	11	04	14	14	33	frozenhammerz	sharonclaws	Enchanted Book#37	25000.0	25000.0	1	world	[-15, 66, 15]
2018	11	10	10	57	14	Engineerer	K9us	Enchanted Book#37	9000.0	9000.0	1	world	[48, 73, -17]
2018	11	20	03	23	25	frozenhammerz	sharonclaws	Enchanted Book#37	9000.0	9000.0	1	world	[-15, 66, 15]
2018	11	28	00	41	24	TheEzieDawg	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2018	11	28	22	43	42	freakdown	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2018	12	04	16	55	57	Aewheros	sharonclaws	Enchanted Book#37	5500.0	5500.0	1	world	[-9, 59, 7]
2018	12	04	23	37	13	AteUrC00ki35	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	02	02	00	42	22	coconewell92	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[51, 73, -17]
2019	02	04	14	09	50	Talrinion	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[51, 73, -17]
2019	02	05	19	49	10	coconewell92	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	02	09	17	16	49	Talrinion	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	02	16	14	37	56	BelegStrongbow	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	02	17	06	04	09	NorraLigan	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	02	17	06	27	18	NorraLigan	sharonclaws	Enchanted Book#37	3300.0	3300.0	1	world	[-9, 59, 7]
2019	02	22	13	40	08	Talrinion	__Wildfire_	Enchanted Book#37	1900.0	1900.0	1	world	[32, 78, 10]
2019	03	05	17	56	09	JacobSterling	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	03	18	14	14	05	magemagemege	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	03	19	20	53	10	coconewell92	K9us	Enchanted Book#37	2000.0	2000.0	1	world	[38, 63, -63]
2019	03	25	21	45	18	coconewell92	__Wildfire_	Enchanted Book#37	1900.0	1900.0	1	world	[32, 78, 10]
2019	03	30	23	45	58	coconewell92	__Wildfire_	Enchanted Book#37	1900.0	1900.0	1	world	[32, 78, 10]
