date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/27 03:41:34	NorraLigan	sharonclaws	Enchanted Book#3D	7000.0	7000.0	1	world	[-12, 65, 13]
2018/11/01 19:58:43	Dragonslair7	sharonclaws	Enchanted Book#3D	7000.0	7000.0	1	world	[-12, 65, 13]
2018/11/04 14:58:12	__Wildfire_	sharonclaws	Enchanted Book#3D	7000.0	7000.0	1	world	[-12, 65, 13]
2018/11/08 18:28:26	Haksndot	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-12, 65, 13]
2018/11/08 18:28:28	Haksndot	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-12, 65, 13]
2018/11/17 14:18:14	__Wildfire_	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-12, 65, 13]
2018/11/25 18:31:58	__Wildfire_	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2018/11/25 18:31:59	__Wildfire_	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2018/11/28 05:27:31	freakdown	K9us	Enchanted Book#3D	2600.0	2600.0	1	world	[37, 63, -47]
2018/11/30 02:17:31	__Wildfire_	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2018/11/30 02:17:32	__Wildfire_	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2018/12/05 22:10:34	freakdown	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/01/07 10:16:50	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/01/07 10:16:50	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/01/07 10:16:51	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/01/07 10:16:51	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/02/02 23:59:16	coconewell92	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/02/05 20:02:27	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/02/05 20:02:29	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/02/17 06:09:19	NorraLigan	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/02/19 14:12:50	BelegStrongbow	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/02/21 18:43:57	coconewell92	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/02/21 18:43:58	coconewell92	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/02/22 12:53:10	Talrinion	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/05 19:37:33	Vivifoxx	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/06 19:08:23	Talrinion	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/06 19:08:26	AspenGamgee	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/10 14:32:19	Talrinion	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/14 00:34:10	dandenoth	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/03/14 00:34:19	dandenoth	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/03/14 00:34:20	dandenoth	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/03/17 17:34:48	TheScrubJay	K9us	Enchanted Book#3D	2600.0	2600.0	1	world	[37, 63, -47]
2019/03/17 17:36:00	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/03/17 17:36:01	TheScrubJay	sharonclaws	Enchanted Book#3D	6000.0	6000.0	1	world	[-7, 58, 7]
2019/03/19 20:30:13	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/19 20:30:14	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/19 22:13:53	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/25 21:45:29	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/25 21:45:30	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/25 23:55:50	ezrone	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/30 23:46:12	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
2019/03/30 23:46:19	coconewell92	__Wildfire_	Enchanted Book#3D	2500.0	2500.0	1	world	[33, 78, 7]
