year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	03	16	35	53	Captain_Handsome	K9us	Enchanted Book#3L	12000.0	12000.0	1	world	[46, 73, -21]
2018	11	03	18	54	34	pudzo	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	03	23	21	43	pudzo	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	07	16	21	59	Srood	K9us	Enchanted Book#3L	9000.0	9000.0	1	world	[46, 73, -21]
2018	11	08	11	23	53	Aewheros	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	08	18	36	36	daggvad	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	09	22	03	57	Haksndot	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	10	00	24	34	Engineerer	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	11	09	29	59	pudzo	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	12	20	16	25	Shahayhay	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	16	01	20	03	__Wildfire_	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	11	17	11	16	30	__Starlight_	sharonclaws	Enchanted Book#3L	12000.0	12000.0	1	world	[-15, 64, 15]
2018	12	04	23	36	23	AteUrC00ki35	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 64, -59]
2018	12	05	22	09	46	freakdown	sharonclaws	Enchanted Book#3L	10500.0	10500.0	1	world	[-3, 57, 7]
2018	12	10	09	26	49	NorraLigan	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 64, -59]
2018	12	24	16	18	37	TheScrubJay	sharonclaws	Enchanted Book#3L	10500.0	10500.0	1	world	[-3, 57, 7]
2019	01	07	05	03	59	__Starlight_	sharonclaws	Enchanted Book#3L	10500.0	10500.0	1	world	[-3, 57, 7]
2019	01	08	05	45	01	freakdown	sharonclaws	Enchanted Book#3L	10500.0	10500.0	1	world	[-3, 57, 7]
2019	01	26	09	10	17	Psyper77	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 64, -59]
2019	01	30	20	21	35	japanimator	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[46, 73, -21]
2019	01	31	12	23	54	P1st0n	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 63, -59]
2019	01	31	12	25	46	P1st0n	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[46, 73, -21]
2019	01	31	22	27	11	Shahayhay	sharonclaws	Enchanted Book#3L	3500.0	3500.0	1	world	[-11, 66, 15]
2019	02	02	00	53	52	coconewell92	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 63, -59]
2019	02	02	23	49	51	coconewell92	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[46, 73, -21]
2019	02	05	19	38	58	coconewell92	sharonclaws	Enchanted Book#3L	3500.0	3500.0	1	world	[-11, 66, 15]
2019	02	05	19	49	54	coconewell92	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 63, -59]
2019	03	06	19	10	37	Talrinion	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
2019	03	15	18	09	16	NullCase	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
2019	03	17	15	17	47	NullCase	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
2019	03	19	20	27	38	coconewell92	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
2019	03	25	20	34	40	coconewell92	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[38, 63, -59]
2019	03	25	21	45	49	coconewell92	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
2019	03	26	01	32	42	dandenoth	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[46, 73, -21]
2019	03	29	17	52	57	dandenoth	K9us	Enchanted Book#3L	2000.0	2000.0	1	world	[46, 73, -21]
2019	03	30	23	45	35	coconewell92	__Wildfire_	Enchanted Book#3L	1900.0	1900.0	1	world	[38, 78, 10]
