year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	07	12	24	53	ArcherV0	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	01	31	18	32	20	P1st0n	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	01	31	18	32	26	P1st0n	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	03	14	13	16	japanimator	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[43, 73, -19]
2019	02	04	14	08	31	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[43, 73, -19]
2019	02	04	14	08	34	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[43, 73, -19]
2019	02	04	14	08	39	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[43, 73, -19]
2019	02	04	14	11	24	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	05	19	50	49	coconewell92	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	05	19	50	50	coconewell92	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	05	19	50	51	coconewell92	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	05	19	50	52	coconewell92	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	09	17	16	14	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	09	17	16	19	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	09	17	16	19	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	10	23	42	12	Talrinion	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	16	15	14	24	BelegStrongbow	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	16	15	14	25	BelegStrongbow	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	02	27	00	20	53	BelegStrongbow	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
2019	03	04	20	13	21	JacobSterling	K9us	Enchanted Book#3c	2600.0	2600.0	1	world	[37, 64, -46]
