year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	05	21	48	57	jandaris7	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2018	12	24	15	18	38	G4t1t4M1m0s4	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	01	08	05	46	34	freakdown	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	01	08	05	46	35	freakdown	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	01	08	05	46	35	freakdown	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	01	08	05	46	36	freakdown	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	02	12	20	19	18	coconewell92	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	02	12	20	19	21	coconewell92	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	02	12	20	19	21	coconewell92	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	03	15	18	18	34	NullCase	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
2019	03	15	18	18	35	NullCase	K9us	Enchanted Book#3h	2000.0	2000.0	1	world	[38, 63, -30]
