date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/24 21:28:05	Haksndot	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/28 11:22:55	Haksndot	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/28 11:23:12	Haksndot	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/28 18:09:57	Magnavox	K9us	Enchanted Book#3r	6500.0	6500.0	1	world	[46, 73, -17]
2018/10/28 18:54:15	frozenhammerz	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/28 18:54:15	frozenhammerz	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/30 15:34:16	FlarpvonKarma	K9us	Enchanted Book#3r	6500.0	6500.0	1	world	[46, 73, -17]
2018/10/30 19:41:17	Shahayhay	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/31 07:10:12	Haksndot	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/10/31 15:12:23	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 02:21:41	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 02:21:42	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:35:59	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:36:00	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:36:01	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:36:02	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:36:47	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:36:48	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:38:00	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 19:39:40	frozenhammerz	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 20:45:21	Mr_Digs	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 22:02:00	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/01 22:02:08	AteUrC00ki35	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
2018/11/02 19:59:29	pudzo	sharonclaws	Enchanted Book#3r	6500.0	6500.0	1	world	[-11, 64, 15]
