date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/01 02:21:55	AteUrC00ki35	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/01 19:37:38	AteUrC00ki35	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/02 20:20:43	Haksndot	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/03 18:24:21	pudzo	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/03 23:22:17	pudzo	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/04 11:04:35	Dragonslair7	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/04 14:14:25	frozenhammerz	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/04 14:57:39	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/08 17:22:42	Aewheros	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/08 18:33:48	daggvad	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/08 18:44:09	Haksndot	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/11 00:21:25	Captain_Handsome	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/12 20:06:35	Shahayhay	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/16 19:42:08	pudzo	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/20 03:23:53	frozenhammerz	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-15, 65, 15]
2018/11/25 18:31:56	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2018/11/28 00:41:00	TheEzieDawg	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/11/28 05:01:36	freakdown	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/11/28 22:43:55	freakdown	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/11/30 02:17:47	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2018/12/04 23:35:37	AteUrC00ki35	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/12/26 12:47:11	G4t1t4M1m0s4	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/12/26 15:06:52	DIOSWILSON	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2018/12/26 20:04:24	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/01/12 01:53:29	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/01/12 05:01:32	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/01/12 05:01:33	__Wildfire_	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/01/21 15:57:48	ZeroGDucks	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[47, 73, -20]
2019/01/31 18:32:34	P1st0n	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/02/02 00:40:59	coconewell92	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[33, 71, -21]
2019/02/04 14:08:04	Talrinion	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[33, 71, -21]
2019/02/05 20:02:18	coconewell92	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/02/08 19:48:14	coconewell92	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/02/09 17:17:18	Talrinion	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/02/10 23:32:00	Talrinion	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[-1963, 67, 1528]
2019/02/14 16:34:35	Aewheros	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/02/15 21:22:13	BelegStrongbow	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/02/17 06:04:17	NorraLigan	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/02/17 06:30:10	NorraLigan	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/02/17 11:33:13	EnDristON	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/02/21 18:44:10	coconewell92	sharonclaws	Enchanted Book#4b	7000.0	7000.0	1	world	[-9, 57, 7]
2019/02/22 12:53:02	Talrinion	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/03/01 19:01:29	Aewheros	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/03/06 11:32:40	Vallenius	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[47, 73, -20]
2019/03/15 17:21:49	NullCase	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/03/18 14:13:54	magemagemege	K9us	Enchanted Book#4b	2600.0	2600.0	1	world	[37, 63, -54]
2019/03/19 20:30:11	coconewell92	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/03/25 21:45:26	coconewell92	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
2019/03/30 23:46:08	coconewell92	__Wildfire_	Enchanted Book#4b	2500.0	2500.0	1	world	[32, 78, 8]
