date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/08 13:32:10	Aewheros	K9us	Enchanted Book#5g	2000.0	2000.0	1	world	[45, 72, -24]
2018/11/08 19:50:10	MyNameIsTree	K9us	Enchanted Book#5g	2000.0	2000.0	1	world	[45, 72, -24]
2018/11/13 23:17:02	Shahayhay	K9us	Enchanted Book#5g	2000.0	2000.0	1	world	[45, 72, -24]
2018/11/14 23:00:49	Shahayhay	K9us	Enchanted Book#5g	5000.0	5000.0	1	world	[45, 72, -24]
2018/11/23 23:25:38	Phantom_Ark	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[45, 72, -24]
2018/11/27 03:32:24	K9us	sharonclaws	Enchanted Book#5g	1500.0	1500.0	1	world	[-3, 59, 7]
2018/12/10 09:27:40	NorraLigan	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2018/12/23 17:01:23	G4t1t4M1m0s4	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2018/12/28 22:25:36	G4t1t4M1m0s4	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2019/01/12 12:01:21	__Tilt	sharonclaws	Enchanted Book#5g	1500.0	1500.0	1	world	[-3, 59, 7]
2019/01/26 15:54:59	DIOSWILSON	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2019/02/04 19:39:35	nilssssss	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2019/02/04 19:47:15	nilssssss	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2019/02/13 17:16:27	__Tilt	__Wildfire_	Enchanted Book#5g	1400.0	1400.0	1	world	[38, 78, 8]
2019/02/26 14:54:30	Vallenius	K9us	Enchanted Book#5g	3200.0	3200.0	1	world	[32, 63, -37]
2019/03/09 15:56:04	Aewheros	__Wildfire_	Enchanted Book#5g	1400.0	1400.0	1	world	[38, 78, 8]
