year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	09	22	04	20	Haksndot	sharonclaws	Enchanted Book#5w	15000.0	15000.0	1	world	[-10, 65, 13]
2018	11	12	20	16	37	Shahayhay	sharonclaws	Enchanted Book#5w	15000.0	15000.0	1	world	[-10, 65, 13]
2018	11	17	11	48	57	__Starlight_	sharonclaws	Enchanted Book#5w	15000.0	15000.0	1	world	[-10, 65, 13]
2018	12	02	20	37	21	__Wildfire_	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2018	12	04	23	30	55	AteUrC00ki35	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2018	12	24	01	24	39	__Starlight_	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2018	12	24	01	24	57	__Starlight_	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2018	12	24	16	18	04	TheScrubJay	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	02	05	20	02	56	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	05	20	02	57	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	05	20	02	58	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	08	22	25	42	__Tilt	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	13	17	09	42	__Tilt	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	15	23	04	45	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	02	15	23	04	46	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	15	18	03	54	NullCase	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	15	18	42	45	NullCase	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	19	20	26	53	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	25	20	35	27	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	25	21	47	22	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	03	30	17	28	32	ezrone	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	03	30	23	46	50	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	05	05	25	48	NullCase	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	06	03	38	16	dandenoth	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	06	16	09	03	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	09	02	15	53	dandenoth	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	04	10	06	21	13	NullCase	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	20	16	00	19	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	20	18	55	37	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	20	21	43	35	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	21	23	21	58	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	24	00	40	16	sharonclaws	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	28	13	24	43	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	28	23	06	59	AshGreninja2579	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	04	29	22	30	48	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	05	03	01	20	20	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	05	03	01	21	44	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	05	06	19	54	01	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	05	11	21	20	53	coconewell92	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	06	19	20	50	45	Oaken_Ralph	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	06	29	10	06	56	Th3FerrariStig2	K9us	Enchanted Book#5w	680.0	680.0	1	world	[59, 52, -58]
2019	07	01	12	46	00	SilverBearClaw	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	04	12	21	56	ATMA_2309	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	11	18	01	28	kuraudosukei	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	11	18	01	30	kuraudosukei	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	12	12	13	23	Dredhounds	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	12	18	11	14	sparkXstorm	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
2019	07	12	23	50	16	kuraudosukei	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	07	12	23	50	17	kuraudosukei	sharonclaws	Enchanted Book#5w	11000.0	11000.0	1	world	[7, 58, 7]
2019	07	13	18	36	23	Mongoose_136	__Wildfire_	Enchanted Book#5w	3100.0	3100.0	1	world	[33, 78, 8]
