date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/24 23:02:41	rubez	K9us	Enchanted Book#6R	2000.0	2000.0	1	world	[38, 63, -67]
2019/02/15 23:05:04	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/02/15 23:05:07	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/02/15 23:05:08	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/03/14 02:40:41	dandenoth	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/04/04 19:55:49	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/04/04 21:00:58	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/04/23 23:24:06	coconewell92	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/06/05 23:07:59	Oaken_Ralph	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/06/12 11:02:54	mmrblood	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
2019/07/13 18:35:14	Mongoose_136	__Wildfire_	Enchanted Book#6R	1900.0	1900.0	1	world	[38, 78, 12]
