year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	23	13	34	42	G4t1t4M1m0s4	sharonclaws	Enchanted Book#6S	2000.0	2000.0	1	world	[-1, 57, 7]
2018	12	23	13	35	38	G4t1t4M1m0s4	sharonclaws	Enchanted Book#6S	2000.0	2000.0	1	world	[-1, 57, 7]
2019	01	28	15	28	59	Nocturna12	K9us	Enchanted Book#6S	2000.0	2000.0	1	world	[34, 63, -67]
2019	02	03	14	19	41	japanimator	K9us	Enchanted Book#6S	2000.0	2000.0	1	world	[34, 63, -67]
2019	02	10	18	36	57	coconewell92	sharonclaws	Enchanted Book#6S	2000.0	2000.0	1	world	[-1, 57, 7]
2019	02	15	23	05	10	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	02	15	23	05	10	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	02	15	23	05	11	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	03	14	02	39	33	dandenoth	sharonclaws	Enchanted Book#6S	2000.0	2000.0	1	world	[-1, 57, 7]
2019	03	17	13	46	51	coconewell92	K9us	Enchanted Book#6S	2000.0	2000.0	1	world	[34, 63, -67]
2019	03	17	13	46	54	coconewell92	K9us	Enchanted Book#6S	2000.0	2000.0	1	world	[34, 63, -67]
2019	04	04	19	55	50	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	04	04	21	00	55	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	04	23	23	24	07	coconewell92	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	06	05	23	08	00	Oaken_Ralph	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	06	12	11	03	34	mmrblood	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	07	13	18	35	29	Mongoose_136	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	08	09	13	32	56	ezrone	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2019	12	14	09	11	22	Vallenius	Remix_D_Miner	Enchanted Book#6S	1500.0	1500.0	1	world	[61, 88, 26]
2020	01	30	19	52	38	_mrpuggy_	Remix_D_Miner	Enchanted Book#6S	1500.0	1500.0	1	world	[61, 88, 26]
2020	03	08	14	56	54	Minarchu	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
2020	03	18	15	02	04	Downhilldriver	__Wildfire_	Enchanted Book#6S	1900.0	1900.0	1	world	[38, 78, 13]
