date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/27 14:48:35	Aewheros	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/11/27 14:49:08	Aewheros	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/12/01 07:11:32	NorraLigan	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/12/04 10:33:56	DIOSWILSON	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/12/07 12:20:10	ArcherV0	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/12/10 06:58:53	DIOSWILSON	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2018/12/12 13:20:29	DIOSWILSON	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/01/05 17:31:59	magemagemege	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/01/29 17:32:30	Talrinion	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/01/31 12:27:19	P1st0n	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/01/31 13:38:54	monkeyboy448	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/01/31 18:31:54	P1st0n	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/01 15:54:22	Shahayhay	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/01 15:55:21	Shahayhay	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/01 15:55:22	Shahayhay	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/02 09:09:43	japanimator	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/03 11:21:18	magemagemege	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/03 14:11:30	japanimator	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/03 14:11:32	japanimator	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/04 00:09:42	StormR7	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/06 14:06:40	monkeyboy448	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/06 16:19:09	monkeyboy448	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/10 18:54:30	beluaeomega	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/10 23:42:41	Talrinion	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[38, 63, -29]
2019/02/12 12:47:36	EnDristON	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/15 21:07:10	BelegStrongbow	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
2019/02/16 12:16:46	BelegStrongbow	K9us	Enchanted Book#6c	2000.0	2000.0	1	world	[45, 72, -6]
