year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	05	18	27	15	Haksndot	sharonclaws	Enchanted Book#B	30000.0	30000.0	1	world	[-14, 64, 8]
2018	09	05	18	32	16	Haksndot	sharonclaws	Enchanted Book#B	30000.0	30000.0	1	world	[-14, 64, 8]
2018	09	05	20	43	56	frozenhammerz	K9us	Enchanted Book#B	18900.0	18900.0	1	world	[47, 75, -20]
2018	09	05	23	26	41	Haksndot	sharonclaws	Enchanted Book#B	35000.0	35000.0	1	world	[-14, 64, 8]
2018	09	07	09	26	22	NullCase	sharonclaws	Enchanted Book#B	35000.0	35000.0	1	world	[-14, 64, 8]
2018	09	16	11	24	36	cameronbelt	sharonclaws	Enchanted Book#B	28000.0	28000.0	1	world	[-14, 64, 8]
2018	09	17	04	45	59	NullCase	sharonclaws	Enchanted Book#B	13000.0	13000.0	1	world	[-14, 64, 8]
2018	09	21	20	11	24	pudzo	sharonclaws	Enchanted Book#B	10000.0	10000.0	1	world	[-14, 64, 8]
2018	09	27	07	05	37	pudzo	sharonclaws	Enchanted Book#B	10000.0	10000.0	1	world	[-14, 64, 8]
2018	10	09	23	20	13	PizzaJon	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	12	15	39	35	TheScrubJay	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	12	15	39	36	TheScrubJay	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	12	15	39	37	TheScrubJay	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	13	20	03	02	TheScrubJay	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	14	15	35	55	__Wildfire_	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	14	15	36	15	__Wildfire_	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	15	20	49	26	Haksndot	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
2018	10	17	12	19	15	3thanat0r	K9us	Enchanted Book#B	7500.0	7500.0	1	world	[33, 71, -21]
2018	10	18	17	04	03	__Wildfire_	sharonclaws	Enchanted Book#B	7000.0	7000.0	1	world	[-15, 65, 15]
