year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	14	20	12	20	Shahayhay	K9us	Enchanted Book#C	22900.0	22900.0	1	world	[44, 73, -17]
2018	09	21	22	08	01	Haksndot	K9us	Enchanted Book#C	19000.0	19000.0	1	world	[44, 73, -17]
2018	09	22	17	00	01	Troll_kin	K9us	Enchanted Book#C	19000.0	19000.0	1	world	[44, 73, -17]
2018	09	26	07	27	48	Haksndot	K9us	Enchanted Book#C	19000.0	19000.0	1	world	[44, 73, -17]
2018	09	27	19	12	46	Shahayhay	K9us	Enchanted Book#C	19000.0	19000.0	1	world	[44, 73, -17]
2018	10	06	15	03	52	Dragonslair7	sharonclaws	Enchanted Book#C	13000.0	13000.0	1	world	[-13, 66, 15]
2018	10	07	15	57	01	3thanat0r	K9us	Enchanted Book#C	9000.0	9000.0	1	world	[44, 73, -17]
2018	10	10	20	00	57	Haksndot	sharonclaws	Enchanted Book#C	9000.0	9000.0	1	world	[-13, 66, 15]
2019	04	02	21	55	00	pudzo	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	04	05	05	25	58	NullCase	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	04	05	05	26	00	NullCase	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	04	06	23	33	53	dandenoth	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	04	27	13	43	13	Vivifoxx	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	05	18	13	29	08	daboogaoogaman	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	05	28	08	51	25	NullCase	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	05	28	08	51	27	NullCase	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	06	03	16	08	18	Vivifoxx	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	06	06	13	03	19	Oaken_Ralph	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	06	13	17	10	42	daboogaoogaman	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	06	21	15	38	04	RyanJG	K9us	Enchanted Book#C	700.0	700.0	1	world	[23, 71, -10]
2019	06	29	22	48	48	jackcam6	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	01	11	17	42	jackcam6	K9us	Enchanted Book#C	200.0	200.0	1	world	[38, 54, -67]
2019	07	03	03	56	40	Vallenius	K9us	Enchanted Book#C	250.0	250.0	1	world	[38, 53, -67]
2019	07	04	12	20	31	ATMA_2309	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	07	04	12	29	41	ATMA_2309	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	07	05	06	33	45	NullCase	__Wildfire_	Enchanted Book#C	800.0	800.0	1	world	[36, 78, 8]
2019	07	09	19	42	59	kuraudosukei	K9us	Enchanted Book#C	250.0	250.0	1	world	[38, 53, -67]
2019	07	14	00	38	01	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	14	20	57	36	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	14	20	57	36	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	14	20	57	37	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	14	20	57	37	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
2019	07	14	20	57	38	kuraudosukei	sharonclaws	Enchanted Book#C	1800.0	1800.0	1	world	[7, 57, 7]
