year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	05	16	29	34	Haksndot	spfoia	Enchanted Book#J	200000.0	200000.0	1	world	[-23, 64, -5]
2018	09	05	18	57	40	Haksndot	spfoia	Enchanted Book#J	200000.0	200000.0	1	world	[-25, 64, -6]
2018	09	07	09	11	06	K9us	spfoia	Enchanted Book#J	200000.0	200000.0	1	world	[-25, 64, -6]
2018	09	07	09	27	51	NullCase	K9us	Enchanted Book#J	210000.0	210000.0	1	world	[46, 73, -19]
2018	09	07	09	29	34	NullCase	K9us	Enchanted Book#J	210000.0	210000.0	1	world	[46, 73, -19]
2018	09	07	09	36	55	NullCase	spfoia	Enchanted Book#J	200000.0	200000.0	1	world	[-25, 64, -6]
2018	09	07	17	57	43	spfoia	sharonclaws	Enchanted Book#J	175000.0	175000.0	1	world	[-14, 64, 6]
2018	09	07	17	57	45	spfoia	sharonclaws	Enchanted Book#J	175000.0	175000.0	1	world	[-14, 64, 6]
2018	09	07	18	52	34	spfoia	sharonclaws	Enchanted Book#J	175000.0	175000.0	1	world	[-14, 64, 6]
2018	09	08	17	33	02	Haksndot	sharonclaws	Enchanted Book#J	175000.0	175000.0	1	world	[-14, 64, 6]
2018	09	11	23	57	14	Remixster	sharonclaws	Enchanted Book#J	150000.0	150000.0	1	world	[-14, 64, 6]
2018	09	12	23	49	57	Shahayhay	K9us	Enchanted Book#J	145000.0	145000.0	1	world	[45, 73, -17]
2018	09	14	19	16	19	Haksndot	sharonclaws	Enchanted Book#J	140000.0	140000.0	1	world	[-14, 64, 6]
2018	09	15	15	07	04	Reven546	K9us	Enchanted Book#J	136000.0	136000.0	1	world	[45, 73, -17]
2018	09	16	15	37	07	PizzaJon	K9us	Enchanted Book#J	28000.0	28000.0	1	world	[45, 73, -17]
2018	09	16	17	44	47	DjungelJarl	sharonclaws	Enchanted Book#J	30000.0	30000.0	1	world	[-14, 64, 6]
2018	09	16	17	55	43	Shahayhay	K9us	Enchanted Book#J	28000.0	28000.0	1	world	[45, 73, -17]
2018	09	16	20	43	16	Haksndot	K9us	Enchanted Book#J	28000.0	28000.0	1	world	[45, 73, -17]
2018	09	17	04	45	47	NullCase	sharonclaws	Enchanted Book#J	30000.0	30000.0	1	world	[-14, 64, 6]
2018	09	17	14	03	46	Vrael1	K9us	Enchanted Book#J	28000.0	28000.0	1	world	[45, 73, -17]
2018	09	20	00	27	09	NullCase	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	00	37	30	NullCase	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	17	13	08	Haksndot	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	17	13	09	Haksndot	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	17	13	10	Haksndot	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	18	06	57	Haksndot	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	20	20	35	24	Shahayhay	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	21	09	04	30	KromeNinja	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	21	14	45	54	LightsChaos	K9us	Enchanted Book#J	39000.0	39000.0	1	world	[45, 73, -17]
2018	09	21	17	15	18	Shahayhay	K9us	Enchanted Book#J	39000.0	39000.0	1	world	[45, 73, -17]
2018	09	21	19	17	52	LightsChaos	K9us	Enchanted Book#J	39000.0	39000.0	1	world	[45, 73, -17]
2018	09	21	20	12	15	pudzo	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	21	20	12	16	pudzo	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
2018	09	21	20	12	17	pudzo	sharonclaws	Enchanted Book#J	23000.0	23000.0	1	world	[-14, 64, 6]
