year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	19	09	03	19	DjungelJarl	sharonclaws	Enchanted Book#R	80000.0	80000.0	1	world	[-14, 64, 10]
2018	09	23	14	23	39	Remixster	sharonclaws	Enchanted Book#R	80000.0	80000.0	1	world	[-14, 64, 10]
2018	09	24	23	22	01	AteUrC00ki35	sharonclaws	Enchanted Book#R	50000.0	50000.0	1	world	[-14, 64, 10]
2018	09	27	22	52	16	Remixster	sharonclaws	Enchanted Book#R	50000.0	50000.0	1	world	[-14, 64, 10]
2018	09	29	16	08	14	AteUrC00ki35	sharonclaws	Enchanted Book#R	24000.0	24000.0	1	world	[-12, 64, 15]
2018	09	29	23	50	36	__Wildfire_	sharonclaws	Enchanted Book#R	24000.0	24000.0	1	world	[-12, 64, 15]
2018	09	29	23	50	37	__Wildfire_	sharonclaws	Enchanted Book#R	24000.0	24000.0	1	world	[-12, 64, 15]
2018	10	09	13	42	20	Vrael1	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	10	19	46	18	Remixster	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	10	20	00	55	Haksndot	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	14	13	36	02	__Wildfire_	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	18	21	20	10	pudzo	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	19	20	35	18	Mr_Digs	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	20	14	22	28	pudzo	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	20	19	16	03	__Wildfire_	sharonclaws	Enchanted Book#R	19000.0	19000.0	1	world	[-13, 65, 15]
2018	10	22	22	10	57	Remixster	sharonclaws	Enchanted Book#R	9500.0	9500.0	1	world	[-13, 65, 15]
2018	10	22	23	54	20	Remixster	sharonclaws	Enchanted Book#R	9500.0	9500.0	1	world	[-13, 65, 15]
2019	04	10	10	29	11	dandenoth	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	10	10	29	12	dandenoth	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	10	10	29	13	dandenoth	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	12	20	12	28	SilverBearClaw	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	14	13	53	15	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	15	20	39	34	frozenhammerz	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	04	17	21	34	41	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	20	16	00	14	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	20	18	55	27	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	20	21	43	13	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	21	23	21	39	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	26	03	06	36	sparkXstorm	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	28	13	24	39	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	29	13	54	31	EnDristON	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	29	22	30	36	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	04	30	18	06	31	Aewheros	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	03	01	19	14	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	06	19	53	53	coconewell92	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	18	13	29	24	daboogaoogaman	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	20	19	02	51	Talrinion	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	20	19	02	52	Talrinion	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	28	08	51	42	NullCase	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	05	28	08	51	43	NullCase	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	01	18	45	37	Colonel_Ruff	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	02	18	10	47	Colonel_Ruff	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	03	19	21	44	frozenhammerz	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	06	13	42	42	Aewheros	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	09	15	52	21	NiCe69	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	09	17	59	50	ATMA_2309	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	12	13	18	33	Oaken_Ralph	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	12	13	18	34	Oaken_Ralph	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	12	13	18	40	Oaken_Ralph	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	12	13	18	49	Oaken_Ralph	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	06	17	12	31	53	NiCe69	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	19	15	44	02	Vallenius	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	20	11	08	32	rockfejset	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	20	15	24	08	rockfejset	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	21	15	39	05	RyanJG	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	06	29	22	47	11	jackcam6	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	07	03	04	00	45	Vallenius	sharonclaws	Enchanted Book#R	2500.0	2500.0	1	world	[-9, 58, 7]
2019	07	03	12	44	02	Vivifoxx	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	04	12	13	42	ATMA_2309	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	04	12	21	12	ATMA_2309	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	05	06	28	02	NullCase	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	05	06	33	54	NullCase	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	08	08	18	05	NullCase	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	11	08	45	52	Dredhounds	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	12	00	52	05	Dredhounds	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	12	00	52	08	Dredhounds	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
2019	07	12	12	15	39	Dredhounds	__Wildfire_	Enchanted Book#R	3100.0	3100.0	1	world	[32, 78, 9]
