year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	05	21	46	48	Shahayhay	K9us	Enchanted Book#T	13000.0	13000.0	1	world	[43, 73, -19]
2018	10	06	15	06	15	Captain_Handsome	sharonclaws	Enchanted Book#T	13000.0	13000.0	1	world	[-14, 66, 13]
2018	10	09	23	21	36	PizzaJon	K9us	Enchanted Book#T	7000.0	7000.0	1	world	[43, 73, -19]
2018	10	17	17	59	42	TheScrubJay	sharonclaws	Enchanted Book#T	8000.0	8000.0	1	world	[-14, 66, 13]
2018	10	21	07	20	08	frozenhammerz	sharonclaws	Enchanted Book#T	8000.0	8000.0	1	world	[-14, 66, 13]
2019	04	06	16	07	07	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	04	20	21	36	08	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	04	21	23	21	32	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	04	28	22	03	58	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	05	03	01	19	07	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	05	06	19	53	16	coconewell92	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	05	25	17	02	30	Aewheros	sharonclaws	Enchanted Book#T	1800.0	1800.0	1	world	[-13, 59, 7]
2019	06	10	12	38	57	NiCe69	K9us	Enchanted Book#T	3200.0	3200.0	1	world	[32, 63, -33]
2019	06	13	15	40	29	Oaken_Ralph	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	06	17	13	15	34	NiCe69	sharonclaws	Enchanted Book#T	1800.0	1800.0	1	world	[-13, 59, 7]
2019	06	20	14	45	05	rockfejset	sharonclaws	Enchanted Book#T	1800.0	1800.0	1	world	[-13, 59, 7]
2019	06	30	19	01	28	Aewheros	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	06	30	19	01	30	Aewheros	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	06	30	19	01	31	Aewheros	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	06	30	19	01	32	Aewheros	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	06	30	19	01	33	Aewheros	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	07	03	17	25	40	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	03	17	25	41	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	03	17	25	41	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	03	17	25	42	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	03	17	25	43	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	05	06	28	15	NullCase	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	07	06	16	00	05	Aewheros	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	07	16	21	01	monkeyboy448	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	10	20	25	19	kuraudosukei	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	10	20	25	20	kuraudosukei	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	12	16	21	53	Dredhounds	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	07	27	04	15	19	Vallenius	K9us	Enchanted Book#T	250.0	250.0	1	world	[45, 53, -46]
2019	07	27	12	29	55	Oaken_Ralph	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	07	29	19	36	04	Srood	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	08	01	23	08	46	Marcus265	K9us	Enchanted Book#T	300.0	300.0	1	world	[45, 52, -46]
2019	09	14	19	11	51	Thoreu	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
2019	09	14	19	11	52	Thoreu	__Wildfire_	Enchanted Book#T	1700.0	1700.0	1	world	[32, 78, 14]
