year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	15	09	40	59	Reven546	spfoia	Enchanted Book#Z	39499.0	39499.0	1	world_nether	[6, 112, 14]
2018	10	05	18	25	53	AteUrC00ki35	sharonclaws	Enchanted Book#Z	25000.0	25000.0	1	world	[-15, 64, 15]
2018	10	12	22	48	36	AteUrC00ki35	sharonclaws	Enchanted Book#Z	12000.0	12000.0	1	world	[-15, 64, 15]
2019	04	04	19	55	44	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	06	16	24	26	coconewell92	K9us	Enchanted Book#Z	2000.0	2000.0	1	world	[38, 63, -59]
2019	04	10	06	21	04	NullCase	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	20	16	03	04	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	20	18	54	19	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	20	21	42	35	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	21	23	19	30	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	28	13	30	55	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	04	29	22	29	55	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	05	03	01	19	50	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	05	06	19	54	40	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	05	08	14	40	33	Pancen	K9us	Enchanted Book#Z	2000.0	2000.0	1	world	[38, 63, -59]
2019	05	11	21	21	42	coconewell92	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	05	20	21	57	54	daboogaoogaman	sharonclaws	Enchanted Book#Z	10500.0	10500.0	1	world	[-3, 57, 7]
2019	05	26	14	45	30	daboogaoogaman	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	05	27	20	43	08	daboogaoogaman	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	06	27	15	15	21	NullCase	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	06	29	10	06	40	Th3FerrariStig2	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	06	30	16	52	33	sparkXstorm	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	01	11	15	10	jackcam6	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	07	01	11	18	16	jackcam6	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	01	12	36	29	SilverBearClaw	K9us	Enchanted Book#Z	440.0	440.0	1	world	[45, 52, -58]
2019	07	02	08	23	13	sparkXstorm	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	09	19	43	30	kuraudosukei	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	10	20	26	02	kuraudosukei	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	10	20	26	02	kuraudosukei	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	11	18	02	15	kuraudosukei	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	07	11	18	02	17	kuraudosukei	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	07	12	18	28	08	sparkXstorm	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	14	16	52	28	Dredhounds	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	07	14	16	53	10	Mongoose_136	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	07	26	13	24	53	Vallenius	K9us	Enchanted Book#Z	440.0	440.0	1	world	[45, 52, -58]
2019	07	29	19	24	55	Oaken_Ralph	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	07	29	19	46	10	Srood	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	08	01	09	25	17	Marcus265	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	08	14	21	44	20	ezrone	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	08	18	14	16	05	AC391694	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	08	19	10	08	56	PXshadow	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
2019	09	13	13	02	53	Thoreu	sharonclaws	Enchanted Book#Z	10500.0	10500.0	1	world	[-3, 57, 7]
2019	09	13	13	05	32	Thoreu	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	09	13	13	05	33	Thoreu	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	09	13	13	05	34	Thoreu	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	09	13	13	05	34	Thoreu	__Wildfire_	Enchanted Book#Z	1900.0	1900.0	1	world	[38, 78, 10]
2019	09	15	12	58	37	Thoreu	Talrinion	Enchanted Book#Z	1000.0	1000.0	1	world_the_end	[279, 6, -18]
2019	09	15	12	58	37	Thoreu	Talrinion	Enchanted Book#Z	1000.0	1000.0	1	world_the_end	[279, 6, -18]
2019	12	28	09	26	45	witherdmangle187	K9us	Enchanted Book#Z	320.0	320.0	1	world	[45, 53, -58]
