year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	05	19	49	40	Shahayhay	sharonclaws	Enchanted Book#e	75000.0	75000.0	1	world	[-14, 65, 13]
2018	10	06	14	34	47	NullCase	pudzo	Enchanted Book#e	75000.0	75000.0	1	world	[-277, 64, -65]
2018	10	09	23	20	39	PizzaJon	sharonclaws	Enchanted Book#e	33000.0	33000.0	1	world	[-14, 65, 13]
2018	10	10	00	35	07	AteUrC00ki35	sharonclaws	Enchanted Book#e	33000.0	33000.0	1	world	[-14, 65, 13]
2018	10	10	14	21	01	sharonclaws	K9us	Enchanted Book#e	33000.0	33000.0	1	world	[43, 73, -20]
2018	10	10	14	21	02	sharonclaws	K9us	Enchanted Book#e	33000.0	33000.0	1	world	[43, 73, -20]
2019	04	05	06	45	01	NullCase	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	04	06	16	09	06	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	04	20	21	37	27	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	04	21	23	22	07	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	04	28	22	04	08	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	05	03	01	20	23	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	05	06	19	54	03	coconewell92	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	05	26	17	14	55	Dioswilson	K9us	Enchanted Book#e	2000.0	2000.0	1	world	[34, 63, -63]
2019	05	26	17	14	56	Dioswilson	K9us	Enchanted Book#e	2000.0	2000.0	1	world	[34, 63, -63]
2019	05	26	17	14	57	Dioswilson	K9us	Enchanted Book#e	2000.0	2000.0	1	world	[34, 63, -63]
2019	05	26	17	14	58	Dioswilson	K9us	Enchanted Book#e	2000.0	2000.0	1	world	[34, 63, -63]
2019	06	03	09	05	16	frozenhammerz	sharonclaws	Enchanted Book#e	3500.0	3500.0	1	world	[5, 57, 7]
2019	06	03	09	05	17	frozenhammerz	sharonclaws	Enchanted Book#e	3500.0	3500.0	1	world	[5, 57, 7]
2019	06	13	15	40	45	Oaken_Ralph	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	06	17	02	26	24	Vallenius	sharonclaws	Enchanted Book#e	3500.0	3500.0	1	world	[5, 57, 7]
2019	06	20	15	10	10	rockfejset	sharonclaws	Enchanted Book#e	3500.0	3500.0	1	world	[5, 57, 7]
2019	06	29	10	00	46	Th3FerrariStig2	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	06	30	19	12	18	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	06	30	19	12	19	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	06	30	19	12	20	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	06	30	19	12	21	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	06	30	19	12	21	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	01	12	47	05	SilverBearClaw	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	03	17	25	52	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	03	17	25	53	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	03	17	25	53	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	03	17	25	54	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	03	17	25	54	Aewheros	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	05	06	29	04	NullCase	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	07	07	16	20	49	monkeyboy448	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	12	16	18	36	Dredhounds	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	07	27	04	15	51	Vallenius	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	07	27	12	29	59	Oaken_Ralph	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	07	29	19	35	36	Srood	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	08	01	23	05	00	Marcus265	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	09	14	19	12	19	Thoreu	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	09	14	19	12	21	Thoreu	__Wildfire_	Enchanted Book#e	1900.0	1900.0	1	world	[33, 78, 10]
2019	10	21	18	32	35	StanleyC	K9us	Enchanted Book#e	440.0	440.0	1	world	[53, 52, -46]
2019	12	05	05	08	33	Vallenius	Remix_D_Miner	Enchanted Book#e	1000.0	1000.0	1	world	[55, 88, 23]
