year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	05	14	24	50	33_Shikamaru	K9us	Enchanted Book#i	13500.0	13500.0	1	world	[44, 73, -20]
2018	09	22	01	03	34	Shahayhay	K9us	Enchanted Book#i	6900.0	6900.0	1	world	[45, 72, -24]
2018	09	24	13	41	24	Vrael1	K9us	Enchanted Book#i	6900.0	6900.0	1	world	[45, 72, -24]
2018	09	29	01	53	56	Shahayhay	K9us	Enchanted Book#i	6900.0	6900.0	1	world	[45, 72, -24]
2018	10	21	15	04	09	Shahayhay	K9us	Enchanted Book#i	3000.0	3000.0	1	world	[45, 72, -24]
2019	04	06	10	53	54	Cesium_Knight	K9us	Enchanted Book#i	3200.0	3200.0	1	world	[32, 63, -37]
2019	04	09	02	14	28	dandenoth	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	05	02	14	53	24	daboogaoogaman	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	05	16	15	15	52	Downhilldriver	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	05	17	18	11	29	daboogaoogaman	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	05	25	16	36	18	Aewheros	sharonclaws	Enchanted Book#i	1500.0	1500.0	1	world	[-3, 59, 7]
2019	06	07	13	07	32	Th3FerrariStig2	K9us	Enchanted Book#i	3200.0	3200.0	1	world	[32, 63, -37]
2019	06	08	15	26	55	NullCase	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	06	19	16	09	35	RyanJG	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	07	01	11	15	06	jackcam6	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	07	09	19	41	36	kuraudosukei	K9us	Enchanted Book#i	250.0	250.0	1	world	[23, 53, -58]
2019	07	12	15	53	40	Mathemagician4	sharonclaws	Enchanted Book#i	1500.0	1500.0	1	world	[-3, 59, 7]
2019	07	12	23	50	02	kuraudosukei	sharonclaws	Enchanted Book#i	1500.0	1500.0	1	world	[-3, 59, 7]
2019	07	14	20	56	28	kuraudosukei	sharonclaws	Enchanted Book#i	1500.0	1500.0	1	world	[-3, 59, 7]
2019	07	21	15	15	12	Mathemagician4	K9us	Enchanted Book#i	250.0	250.0	1	world	[23, 53, -58]
2019	08	10	21	06	49	ezrone	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	09	14	19	12	04	Thoreu	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	09	14	19	12	04	Thoreu	__Wildfire_	Enchanted Book#i	1400.0	1400.0	1	world	[38, 78, 8]
2019	09	15	12	58	54	Thoreu	Talrinion	Enchanted Book#i	600.0	600.0	1	world_the_end	[283, 4, -28]
2019	09	15	12	58	56	Thoreu	Talrinion	Enchanted Book#i	600.0	600.0	1	world_the_end	[283, 4, -28]
2019	09	25	00	33	20	Oaken_Ralph	Talrinion	Enchanted Book#i	600.0	600.0	1	world_the_end	[283, 4, -28]
