year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	05	20	44	21	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	05	20	44	21	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	05	20	44	22	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	05	20	44	23	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	05	20	44	23	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	05	20	44	30	frozenhammerz	K9us	Enchanted Book#j	8900.0	8900.0	1	world	[46, 73, -20]
2018	09	13	19	32	16	33_Shikamaru	K9us	Enchanted Book#j	11500.0	11500.0	1	world	[47, 75, -20]
2018	09	13	19	32	17	33_Shikamaru	K9us	Enchanted Book#j	11500.0	11500.0	1	world	[47, 75, -20]
2019	04	06	17	27	14	_swedish	K9us	Enchanted Book#j	2000.0	2000.0	1	world	[38, 63, -46]
2019	06	20	17	04	26	RyanJG	K9us	Enchanted Book#j	1500.0	1500.0	1	world	[21, 72, -7]
2019	07	10	20	24	41	kuraudosukei	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	07	10	20	24	42	kuraudosukei	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	07	10	20	24	45	kuraudosukei	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	07	12	13	47	34	sparkXstorm	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	48	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	49	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	50	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	50	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	51	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	51	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	52	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	53	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	53	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	54	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	54	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	55	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	56	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	56	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	57	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	57	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	58	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	25	59	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	26	00	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	26	01	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	26	01	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	26	02	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	26	03	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
2019	08	13	22	35	42	ezrone	K9us	Enchanted Book#j	440.0	440.0	1	world	[48, 51, -37]
