year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	04	13	14	26	Srood	K9us	Enchanted Book#k	11799.0	11799.0	1	world	[47, 73, -20]
2018	09	04	13	14	34	Srood	K9us	Enchanted Book#k	11799.0	11799.0	1	world	[47, 73, -20]
2018	09	06	21	38	29	pudzo	K9us	Enchanted Book#k	28900.0	28900.0	1	world	[45, 73, -20]
2018	09	16	17	54	09	Shahayhay	K9us	Enchanted Book#k	9450.0	9450.0	1	world	[48, 73, -17]
2018	09	16	17	54	10	Shahayhay	K9us	Enchanted Book#k	9450.0	9450.0	1	world	[48, 73, -17]
2018	09	19	19	47	34	Shahayhay	K9us	Enchanted Book#k	9450.0	9450.0	1	world	[48, 73, -17]
2018	09	19	19	47	34	Shahayhay	K9us	Enchanted Book#k	9450.0	9450.0	1	world	[48, 73, -17]
2019	06	09	03	02	58	daboogaoogaman	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	06	12	04	20	54	daboogaoogaman	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	06	19	01	45	00	RyanJG	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	06	30	12	45	23	jackcam6	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	01	07	32	15	jackcam6	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	01	11	17	49	jackcam6	K9us	Enchanted Book#k	320.0	320.0	1	world	[36, 51, -67]
2019	07	01	13	26	00	jackcam6	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	01	20	29	57	jackcam6	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	02	09	58	43	jackcam6	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	08	20	48	59	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	09	21	07	30	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	09	21	07	33	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	10	11	30	56	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	12	20	01	11	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	07	12	20	02	01	kuraudosukei	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
2019	10	02	10	08	21	Impression28	K9us	Enchanted Book#k	1500.0	1500.0	1	world	[44, 72, -6]
