date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/09 22:44:40	Shahayhay	K9us	Enchanted Book#x	5900.0	5900.0	1	world	[45, 75, -21]
2018/09/23 20:44:31	Shahayhay	K9us	Enchanted Book#x	14900.0	14900.0	1	world	[44, 73, -21]
2018/10/10 17:41:46	AteUrC00ki35	K9us	Enchanted Book#x	4500.0	4500.0	1	world	[44, 73, -21]
2019/04/06 03:44:15	dandenoth	sharonclaws	Enchanted Book#x	1500.0	1500.0	1	world	[-7, 59, 7]
2019/04/08 21:25:31	Vivifoxx	sharonclaws	Enchanted Book#x	1500.0	1500.0	1	world	[-7, 59, 7]
2019/05/27 12:48:07	NorraLigan	K9us	Enchanted Book#x	1500.0	1500.0	1	world	[33, 63, -46]
2019/06/30 20:52:32	sparkXstorm	K9us	Enchanted Book#x	300.0	300.0	1	world	[53, 52, -58]
2019/07/01 12:36:36	SilverBearClaw	K9us	Enchanted Book#x	300.0	300.0	1	world	[53, 52, -58]
2019/07/09 19:43:55	kuraudosukei	K9us	Enchanted Book#x	300.0	300.0	1	world	[53, 52, -58]
2019/07/10 20:25:45	kuraudosukei	K9us	Enchanted Book#x	300.0	300.0	1	world	[53, 52, -58]
2019/07/10 20:25:46	kuraudosukei	K9us	Enchanted Book#x	300.0	300.0	1	world	[53, 52, -58]
2019/07/14 16:52:52	Mongoose_136	__Wildfire_	Enchanted Book#x	1400.0	1400.0	1	world	[32, 78, 7]
