year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	21	20	00	28	Troll_kin	K9us	Enchanted Book#y	500.0	500.0	1	world	[42, 73, -17]
2018	09	26	13	37	10	3thanat0r	K9us	Enchanted Book#y	350.0	350.0	1	world	[42, 73, -17]
2018	09	30	13	05	41	AteUrC00ki35	K9us	Enchanted Book#y	350.0	350.0	1	world	[42, 73, -17]
2018	09	30	13	05	44	AteUrC00ki35	K9us	Enchanted Book#y	350.0	350.0	1	world	[42, 73, -17]
2019	04	04	16	54	22	daboogaoogaman	sharonclaws	Enchanted Book#y	1500.0	1500.0	1	world	[-5, 58, 7]
2019	05	27	14	22	56	Vivifoxx	sharonclaws	Enchanted Book#y	1500.0	1500.0	1	world	[-5, 58, 7]
2019	06	25	14	14	31	Stormrunners	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	07	10	20	23	28	kuraudosukei	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	07	10	20	23	30	kuraudosukei	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	19	10	07	33	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	19	10	07	49	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	20	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	21	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	22	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	22	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	23	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
2019	08	20	09	48	24	PXshadow	K9us	Enchanted Book#y	300.0	300.0	1	world	[59, 52, -46]
