date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/06 22:04:28	Haksndot	Shahayhay	End Stone	0.625	40.0	64	world	[81, 66, -322]
2018/09/06 22:04:29	Haksndot	Shahayhay	End Stone	0.625	40.0	64	world	[81, 66, -322]
2018/10/16 19:40:32	Shahayhay	Haksndot	End Stone	15.625	1000.0	64	world_nether	[-53, 112, -22]
2018/10/16 19:40:33	Shahayhay	Haksndot	End Stone	15.625	1000.0	64	world_nether	[-53, 112, -22]
2018/10/16 19:40:34	Shahayhay	Haksndot	End Stone	15.625	1000.0	64	world_nether	[-53, 112, -22]
2018/12/08 15:56:55	Stormrunners	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/22 11:57:38	G4t1t4M1m0s4	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/22 11:57:39	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/22 11:57:41	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 11:50:20	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 11:50:21	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 11:50:22	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 11:50:22	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 12:53:40	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 12:53:41	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 12:53:41	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/23 12:53:46	G4t1t4M1m0s4	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/23 12:53:46	G4t1t4M1m0s4	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/29 01:06:49	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:50	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:51	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:51	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:52	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:52	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:54	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:56	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:06:59	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:00	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:00	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:01	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:01	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:02	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:03	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 01:07:03	Remixster	K9us	End Stone	3.0	3.0	1	world	[78, 67, -18]
2018/12/29 11:28:56	FatherTime__	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/29 11:28:57	FatherTime__	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/29 11:28:57	FatherTime__	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2018/12/29 11:28:58	FatherTime__	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/03/18 18:33:30	magemagemege	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/03/29 00:06:18	Colonel_Ruff	ezrone	End Stone	20.0	20.0	1	world	[258, 80, 156]
2019/03/29 00:06:19	Colonel_Ruff	ezrone	End Stone	20.0	20.0	1	world	[258, 80, 156]
2019/04/16 20:32:54	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:32:55	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:32:56	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:32:56	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:32:58	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:33:00	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:33:03	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:33:04	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/16 20:33:05	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:09	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:10	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:10	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:11	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:12	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:20	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:20	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:21	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:22	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:28	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:15:30	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:45:12	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:45:13	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
2019/04/17 00:45:13	daboogaoogaman	K9us	End Stone	3.0	192.0	64	world	[78, 67, -18]
