year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	23	22	01	15	Reven546	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	23	22	01	17	Reven546	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	23	22	01	28	__Wildfire_	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	23	22	01	29	__Wildfire_	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	23	22	01	30	__Wildfire_	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	23	22	04	43	AteUrC00ki35	Haksndot	Ender Chest	10000.0	10000.0	1	world_nether	[-6, 113, 4]
2018	09	24	23	14	21	33_Shikamaru	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	25	06	27	21	DjungelJarl	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	25	16	19	39	ersi	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	25	16	20	22	ersi	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	25	21	28	28	Shahayhay	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	26	22	53	34	pudzo	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	26	22	53	35	pudzo	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	27	00	48	14	__Wildfire_	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	27	00	48	15	__Wildfire_	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	27	13	32	53	K9us	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	27	13	32	54	K9us	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	27	13	32	57	K9us	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	28	03	26	21	Butokuden	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	28	08	56	19	Butokuden	Haksndot	Ender Chest	9900.0	9900.0	1	world_nether	[-6, 113, 4]
2018	09	28	18	53	47	pudzo	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	28	18	53	48	pudzo	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	29	12	54	45	K9us	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
2018	09	29	12	54	46	K9us	Shahayhay	Ender Chest	6000.0	6000.0	1	world_nether	[-118, 68, -178]
