year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	07	09	20	02	03	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	06	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	06	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	07	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	08	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	08	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	09	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	09	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	10	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	10	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	11	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	12	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	12	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	13	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	14	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	09	20	02	16	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	31	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	32	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	32	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	33	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	34	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	35	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	35	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	36	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	37	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	37	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	13	15	38	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	38	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	39	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	40	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	40	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	45	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	49	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	13	15	49	kuraudosukei	K9us	Ender Eye	4.0	4.0	1	world	[54, 61, -18]
2019	07	10	18	31	02	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	03	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	04	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	05	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	06	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	07	kuraudosukei	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	07	10	18	31	08	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	18	31	09	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	19	09	38	kuraudosukei	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	07	10	19	09	39	kuraudosukei	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	07	15	09	34	daboogaoogaman	K9us	Ender Eye	4.0	196.0	49	world	[54, 61, -18]
2019	08	08	16	31	02	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	08	16	31	32	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	08	16	31	32	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	12	17	47	16	Lego_UOE	K9us	Ender Eye	8.0	8.0	1	world	[54, 59, -18]
2019	08	12	17	47	17	Lego_UOE	K9us	Ender Eye	8.0	8.0	1	world	[54, 59, -18]
2019	08	12	17	47	21	Lego_UOE	K9us	Ender Eye	8.0	512.0	64	world	[54, 59, -18]
2019	08	12	17	48	43	Lego_UOE	K9us	Ender Eye	8.0	512.0	64	world	[54, 59, -18]
2019	08	17	15	29	17	daboogaoogaman	K9us	Ender Eye	8.0	512.0	64	world	[54, 59, -18]
2019	08	17	15	29	18	daboogaoogaman	K9us	Ender Eye	8.0	512.0	64	world	[54, 59, -18]
2019	08	17	15	29	18	daboogaoogaman	K9us	Ender Eye	8.0	512.0	64	world	[54, 59, -18]
2019	08	17	15	31	45	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	31	45	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	31	46	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	12	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	13	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	13	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	14	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	15	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	08	17	15	42	17	daboogaoogaman	K9us	Ender Eye	6.0	384.0	64	world	[54, 60, -18]
2019	09	20	20	04	44	Thoreu	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	09	20	20	04	45	Thoreu	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	09	20	20	04	45	Thoreu	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	09	20	20	04	46	Thoreu	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
2019	09	20	20	04	47	Thoreu	K9us	Ender Eye	6.0	6.0	1	world	[54, 60, -18]
