year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	09	49	24	Haksndot	TheScrubJay	Ender Pearl	625.0	10000.0	16	world	[-14, 64, 11]
2018	09	20	18	36	38	ersi	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	20	18	37	13	ersi	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	20	18	38	26	K9us	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	20	21	36	25	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	20	21	36	26	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	20	21	36	28	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	20	21	36	31	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	20	21	36	31	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	20	21	36	33	Char1348294	Cardano_ff	Ender Pearl	10.0	10.0	1	world_the_end	[265, 3, -5]
2018	09	21	12	30	23	TheScrubJay	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	13	28	37	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	13	28	43	Vrael1	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	15	28	02	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	15	28	02	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	15	28	03	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	15	28	03	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	15	28	04	3thanat0r	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	16	15	36	Stormrunners	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
2018	09	21	21	14	01	KromeNinja	Haksndot	Ender Pearl	0.0	0.0	1	world	[-11, 65, -6]
