year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	21	02	34	45	LightsChaos	AteUrC00ki35	Feather	1.0	1.0	1	world	[-354, 74, 83]
2018	10	25	09	10	20	K9us	AteUrC00ki35	Feather	1.0	43.0	43	world	[-354, 74, 83]
2018	11	04	06	43	51	K9us	AteUrC00ki35	Feather	5.0	5.0	1	world	[-354, 74, 83]
2018	11	04	06	43	53	K9us	AteUrC00ki35	Feather	5.0	95.0	19	world	[-354, 74, 83]
2019	03	28	17	24	06	ezrone	coconewell92	Feather	0.3125	20.0	64	world	[252, 88, 166]
2019	06	15	17	01	57	NiCe69	Colonel_Ruff	Feather	1.0	46.0	46	world	[277, 81, 201]
2019	08	17	12	42	59	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	01	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	02	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	03	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	03	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	04	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	05	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2019	08	17	12	43	05	AC391694	Vivifoxx	Feather	1.0	16.0	16	world	[311, 71, 17]
2020	03	27	18	22	09	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	11	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	12	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	13	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	13	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	14	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
2020	03	27	18	22	14	drewstheman1	Vivifoxx	Feather	4.0	4.0	1	world	[311, 71, 17]
