date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/23 22:05:04	Reven546	Baskerboss	Firework Rocket#1L	78.125	5000.0	64	world	[33, 83, -22]
2018/09/23 22:05:10	Reven546	Baskerboss	Firework Rocket#1L	78.125	5000.0	64	world	[33, 83, -22]
2018/09/25 22:22:37	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:48	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:48	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:49	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:49	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:50	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:53	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:54	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:55	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/25 22:22:56	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/09/29 15:01:02	PizzaJon	sharonclaws	Firework Rocket#1L	12.5	50.0	4	world	[-3, 129, 16]
2018/09/29 22:17:07	pudzo	sharonclaws	Firework Rocket#1L	50.0	200.0	4	world	[-3, 129, 16]
2018/09/30 06:48:19	Haksndot	sharonclaws	Firework Rocket#1L	50.0	3000.0	60	world	[-3, 129, 16]
2018/09/30 14:59:27	Dragonslair7	sharonclaws	Firework Rocket#1L	50.0	100.0	2	world	[-3, 129, 16]
2018/09/30 16:28:20	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/09/30 18:37:04	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/09/30 18:37:09	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/10/01 19:47:35	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/10/01 19:47:36	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/10/01 19:47:37	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	3200.0	64	world	[-3, 129, 16]
2018/10/01 19:47:37	frozenhammerz	sharonclaws	Firework Rocket#1L	50.0	2700.0	54	world	[-3, 129, 16]
2018/10/02 08:41:24	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/10/02 08:41:25	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/10/02 08:41:26	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/10/02 08:41:26	Mr_Digs	Baskerboss	Firework Rocket#1L	54.6875	3500.0	64	world	[33, 83, -22]
2018/10/02 19:33:38	LightsChaos	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/02 19:33:38	LightsChaos	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/02 19:33:39	LightsChaos	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/02 19:33:42	LightsChaos	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/04 14:36:51	frozenhammerz	sharonclaws	Firework Rocket#1L	37.5	2400.0	64	world	[-3, 129, 16]
2018/10/04 14:36:53	frozenhammerz	sharonclaws	Firework Rocket#1L	37.5	2400.0	64	world	[-3, 129, 16]
2018/10/06 05:30:43	frozenhammerz	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/06 05:30:44	frozenhammerz	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/06 05:30:45	frozenhammerz	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/06 12:49:18	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 12:49:19	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 12:49:20	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:24	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:26	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:27	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:28	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:29	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:29	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:31	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:32	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:32	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:33	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:33	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:34	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:35	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/06 17:26:36	pudzo	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/08 00:21:44	Shahayhay	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/08 16:46:54	pudzo	sharonclaws	Firework Rocket#1L	37.5	2400.0	64	world	[-3, 129, 16]
2018/10/09 20:38:56	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:38:57	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:38:58	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:38:58	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:38:59	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:00	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:00	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:04	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:04	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:05	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:06	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:07	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:08	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:08	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:09	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:10	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/09 20:39:11	Mr_Digs	Baskerboss	Firework Rocket#1L	15.626666666666667	46.88	3	world	[33, 83, -22]
2018/10/10 14:59:56	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/10 14:59:57	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/10 14:59:58	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/10 15:04:18	Mr_Digs	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:00	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:03	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:04	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:05	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:05	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:06	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:07	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/11 12:20:07	3thanat0r	sharonclaws	Firework Rocket#1L	37.5	150.0	4	world	[-3, 129, 16]
2018/10/12 11:43:21	Vrael1	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/14 15:26:21	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:22	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:23	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:24	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:24	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:25	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:26	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/14 15:26:26	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	30.0	2	world	[-3, 129, 16]
2018/10/15 13:48:53	Saphira500	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 13:48:53	Saphira500	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 13:48:54	Saphira500	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 13:48:55	Saphira500	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 13:48:55	Saphira500	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 15:23:33	3thanat0r	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 15:25:58	3thanat0r	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 15:41:02	3thanat0r	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/15 15:41:18	3thanat0r	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/15 23:20:26	pudzo	sharonclaws	Firework Rocket#1L	15.0	960.0	64	world	[-3, 129, 16]
2018/10/16 16:07:31	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/16 16:07:39	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/16 16:07:39	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/16 16:07:40	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/16 16:07:41	Mr_Digs	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/17 18:00:54	Stormrunners	sharonclaws	Firework Rocket#1L	15.0	60.0	4	world	[-3, 129, 16]
2018/10/19 09:00:52	Vrael1	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/19 09:00:52	Vrael1	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/19 09:00:53	Vrael1	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
2018/10/19 15:24:06	Vrael1	Baskerboss	Firework Rocket#1L	15.625	1000.0	64	world	[33, 83, -22]
