date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/24 09:42:13	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:14	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:14	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:15	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:16	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:16	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:17	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:18	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 09:42:19	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	45.0	3	world	[-3, 129, 16]
2018/10/24 18:51:39	TheScrubJay	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/10/24 18:51:40	TheScrubJay	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/10/27 03:24:31	Vrael1	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/27 03:24:32	Vrael1	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/27 03:24:33	Vrael1	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/27 03:24:35	Vrael1	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/27 03:24:36	Vrael1	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/30 22:59:35	3thanat0r	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/10/30 22:59:38	3thanat0r	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/11/03 01:03:57	cmanley1981	Baskerboss	Firework Rocket#3q	15.625	1000.0	64	world	[33, 83, -22]
2018/11/03 18:26:18	pudzo	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/03 18:26:19	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/03 18:26:20	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/03 18:26:25	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/03 23:46:08	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/04 19:15:57	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/04 19:15:59	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/04 19:16:00	pudzo	sharonclaws	Firework Rocket#3q	15.0	960.0	64	world	[-3, 129, 16]
2018/11/05 20:46:54	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:56	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:56	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:57	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:58	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:58	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:46:59	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:00	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:00	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:01	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:10	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:10	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:21	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:23	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:24	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:25	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:25	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:26	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:27	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:28	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:28	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:29	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:30	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:30	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:31	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:32	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:33	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:33	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:44	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:46	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:46	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:48	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:49	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:50	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:51	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:51	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:52	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:53	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:54	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:55	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:56	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:58	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:58	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:47:59	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:48:00	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
2018/11/05 20:48:03	Mr_Digs	sharonclaws	Firework Rocket#3q	15.0	60.0	4	world	[-3, 129, 16]
