year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	17	20	44	04	pudzo	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	11	28	05	04	04	freakdown	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	02	21	15	24	freakdown	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	06	03	40	07	freakdown	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	09	17	31	52	jandaris14	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	09	17	31	53	jandaris14	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	09	17	31	53	jandaris14	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	09	17	31	54	jandaris14	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2018	12	09	17	31	55	jandaris14	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
2019	04	16	14	28	55	Mathemagician4	K9us	Flint And Steel	50.0	50.0	1	world	[35, 70, -28]
