year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	03	16	12	45	Mowilag	sharonclaws	Flower Pot	1000.0	1000.0	1	world	[2, 57, 22]
2019	03	02	09	45	42	Vivifoxx	sharonclaws	Flower Pot	500.0	500.0	1	world	[2, 57, 22]
2019	03	02	09	45	51	Vivifoxx	sharonclaws	Flower Pot	500.0	500.0	1	world	[2, 57, 22]
2019	03	28	18	13	39	frozenhammerz	sharonclaws	Flower Pot	300.0	17100.0	57	world	[2, 57, 22]
2019	04	16	02	08	02	__Wildfire_	sharonclaws	Flower Pot	300.0	19200.0	64	world	[2, 57, 22]
2019	04	30	01	00	00	daboogaoogaman	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	04	30	01	00	01	daboogaoogaman	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	45	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	46	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	46	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	47	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	47	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	48	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	49	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	50	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	50	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	05	02	04	39	51	K9us	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	06	15	32	02	Stormrunners	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	06	15	32	04	Stormrunners	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	37	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	37	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	38	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	39	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	44	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	44	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	45	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	46	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	47	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	47	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	48	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	49	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	50	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	50	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	51	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	52	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	52	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	53	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	54	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	55	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	56	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	56	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	57	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	58	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	59	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	20	59	59	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	21	00	00	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	21	00	01	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	21	00	01	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	06	09	21	00	02	NiCe69	sharonclaws	Flower Pot	300.0	300.0	1	world	[2, 57, 22]
2019	08	10	07	11	43	Miljanee	EnDristON	Flower Pot	50.0	50.0	1	world	[-238, 74, -450]
