year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	12	22	28	25	Shahayhay	__Wildfire_	Glass	7.6923076923076925	500.0	65	world	[32, 71, 5]
2018	09	12	22	28	26	Shahayhay	__Wildfire_	Glass	7.692222222222222	346.15	45	world	[32, 71, 5]
2018	09	15	11	31	44	Shahayhay	__Wildfire_	Glass	9.375	600.0	64	world	[32, 71, 5]
2018	09	15	11	31	48	Shahayhay	__Wildfire_	Glass	9.375	600.0	64	world	[32, 71, 5]
2018	09	15	11	31	49	Shahayhay	__Wildfire_	Glass	9.375	600.0	64	world	[32, 71, 5]
2018	09	15	11	31	50	Shahayhay	__Wildfire_	Glass	9.375	37.5	4	world	[32, 71, 5]
2018	09	15	11	43	44	DjungelJarl	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	04	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	05	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	05	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	07	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	08	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	09	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	46	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	18	23	27	49	NullCase	Remixster	Glass	100.0	400.0	4	world	[52, 71, 6]
2018	09	19	06	03	03	pudzo	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	24	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	24	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	26	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	26	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	27	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	28	K9us	__Wildfire_	Glass	10.9375	700.0	64	world	[33, 71, 7]
2018	09	22	13	16	28	K9us	__Wildfire_	Glass	10.9375	612.5	56	world	[33, 71, 7]
2018	09	25	06	33	41	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	33	43	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	33	51	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	06	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	07	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	08	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	09	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	09	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	10	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	11	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	11	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	06	56	12	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	12	15	01	frozenhammerz	Remixster	Glass	100.0	6400.0	64	world	[52, 71, 6]
2018	09	25	12	15	02	frozenhammerz	Remixster	Glass	100.0	6400.0	64	world	[52, 71, 6]
2018	09	25	12	15	03	frozenhammerz	Remixster	Glass	100.0	3200.0	32	world	[52, 71, 6]
2018	09	25	15	14	52	sharonclaws	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	25	21	47	04	Shahayhay	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	19	11	37	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	19	11	40	pudzo	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	56	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	56	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	57	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	57	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	58	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	58	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
2018	09	26	22	01	59	Haksndot	__Wildfire_	Glass	93.75	6000.0	64	world	[33, 71, 7]
