year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	16	23	38	53	cmanley1981	K9us	Glowstone	600.0	15600.0	26	world	[52, 73, -22]
2018	10	17	08	58	37	K9us	__Wildfire_	Glowstone	125.0	125.0	1	world	[32, 71, 9]
2018	10	17	08	58	40	K9us	__Wildfire_	Glowstone	125.0	8000.0	64	world	[32, 71, 9]
2018	10	17	08	58	41	K9us	__Wildfire_	Glowstone	125.0	8000.0	64	world	[32, 71, 9]
2018	10	17	08	58	43	K9us	__Wildfire_	Glowstone	125.0	8000.0	64	world	[32, 71, 9]
2018	10	17	08	58	44	K9us	__Wildfire_	Glowstone	125.0	8000.0	64	world	[32, 71, 9]
2018	10	17	08	58	45	K9us	__Wildfire_	Glowstone	125.0	8000.0	64	world	[32, 71, 9]
2018	10	17	08	58	45	K9us	__Wildfire_	Glowstone	125.0	250.0	2	world	[32, 71, 9]
2018	10	28	11	05	19	Magnavox	__Wildfire_	Glowstone	180.0	180.0	1	world	[32, 71, 9]
2018	10	28	11	05	19	Magnavox	__Wildfire_	Glowstone	180.0	180.0	1	world	[32, 71, 9]
2018	10	29	10	14	32	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[32, 71, 9]
2018	10	29	10	14	33	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	34	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	34	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	35	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	36	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	37	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	10	29	10	14	38	K9us	__Wildfire_	Glowstone	180.0	7920.0	44	world	[32, 71, 9]
2018	11	03	04	42	08	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[32, 71, 9]
2018	11	03	04	42	09	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	10	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	10	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	11	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	12	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	12	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	14	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	14	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	15	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	15	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	16	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	16	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	17	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	18	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	18	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	19	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	19	K9us	__Wildfire_	Glowstone	180.0	11520.0	64	world	[32, 71, 9]
2018	11	03	04	42	20	K9us	__Wildfire_	Glowstone	180.0	10620.0	59	world	[32, 71, 9]
2018	11	03	05	46	18	K9us	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	10	18	17	05	Engineerer	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	10	18	17	14	Engineerer	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	10	18	17	17	Engineerer	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	10	18	17	21	Engineerer	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	10	23	11	44	pudzo	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	13	12	37	00	Aewheros	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	13	12	37	01	Aewheros	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	13	12	37	02	Aewheros	Haksndot	Glowstone	250.0	2000.0	8	world_nether	[-52, 112, -22]
2018	11	14	06	17	26	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	27	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	28	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	28	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	29	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	30	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	30	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	31	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	14	06	17	32	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	17	23	17	28	Phantom_Ark	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	17	23	17	30	Phantom_Ark	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	17	23	17	33	Phantom_Ark	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	17	23	17	34	Phantom_Ark	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	18	11	01	44	ersi	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	18	11	01	55	ersi	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	19	06	58	58	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	58	59	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	00	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	01	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	01	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	02	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	02	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	03	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	04	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	04	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	05	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	34	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	35	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	36	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	36	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	37	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	37	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	38	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	39	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	40	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	40	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	41	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	42	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	47	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	48	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	49	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	49	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	06	59	50	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	05	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	05	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	06	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	07	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	07	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	08	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	08	frozenhammerz	__Wildfire_	Glowstone	180.0	11520.0	64	world	[34, 71, 13]
2018	11	19	07	00	09	frozenhammerz	__Wildfire_	Glowstone	180.0	2700.0	15	world	[34, 71, 13]
2018	11	19	07	01	29	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	36	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	36	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	37	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	38	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	39	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	39	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	40	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	40	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	41	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	19	07	01	41	frozenhammerz	Haksndot	Glowstone	250.0	16000.0	64	world_nether	[-52, 112, -22]
2018	11	22	08	54	05	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	22	08	54	06	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	11	22	08	54	07	K9us	__Wildfire_	Glowstone	180.0	180.0	1	world	[34, 71, 13]
2018	12	08	23	41	09	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	08	23	41	10	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	08	23	41	11	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	08	23	41	12	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	08	23	41	14	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	29	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	40	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	41	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	42	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	43	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	11	12	25	44	lusacu420	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2018	12	14	22	12	45	Aewheros	__Wildfire_	Glowstone	100.0	6400.0	64	world	[34, 71, 13]
2018	12	27	22	40	10	Aewheros	__Wildfire_	Glowstone	100.0	6400.0	64	world	[34, 71, 13]
2019	01	04	15	11	29	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	30	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	30	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	31	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	32	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	33	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	33	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	04	15	11	34	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	07	23	35	35	Aewheros	__Wildfire_	Glowstone	100.0	6400.0	64	world	[34, 71, 13]
2019	01	17	16	21	32	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	17	16	21	33	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	17	16	21	34	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
2019	01	17	16	21	34	Mr_Digs	__Wildfire_	Glowstone	100.0	100.0	1	world	[34, 71, 13]
