year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	16	19	13	04	magemagemege	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	01	16	19	13	05	magemagemege	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	01	16	19	13	05	magemagemege	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	01	16	19	13	06	magemagemege	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	01	16	19	13	20	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	01	16	19	13	21	magemagemege	K9us	Gold Block	330.0	11550.0	35	world	[-1851, 6, 1608]
2019	02	01	19	09	07	jack30ice	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	02	01	19	14	07	jack30ice	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	02	01	19	14	08	jack30ice	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	02	26	17	32	43	BelegStrongbow	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	02	26	17	32	46	BelegStrongbow	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	02	26	17	32	47	BelegStrongbow	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	02	26	17	32	48	BelegStrongbow	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	02	26	17	32	49	BelegStrongbow	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	02	26	17	32	50	BelegStrongbow	K9us	Gold Block	330.0	1650.0	5	world	[-1851, 6, 1608]
2019	03	19	15	45	39	Miljanee	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	03	28	19	58	41	TheOnlyOne69	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	03	06	26	14	frozenhammerz	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	03	06	26	14	frozenhammerz	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	03	06	26	15	frozenhammerz	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	04	08	08	31	Pancen	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	04	08	11	12	Pancen	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	40	magemagemege	K9us	Gold Block	330.0	330.0	1	world	[-1851, 6, 1608]
2019	05	04	15	03	42	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	54	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	54	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	55	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	56	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	05	04	15	03	57	magemagemege	K9us	Gold Block	330.0	21120.0	64	world	[-1851, 6, 1608]
2019	07	04	20	28	36	__Wildfire_	K9us	Gold Block	210.0	13440.0	64	world	[-1851, 10, 1608]
2019	07	04	20	28	44	__Wildfire_	K9us	Gold Block	210.0	3570.0	17	world	[-1851, 10, 1608]
2019	07	04	20	28	53	__Wildfire_	K9us	Gold Block	240.0	5760.0	24	world	[-1851, 9, 1608]
2019	07	04	20	29	08	__Wildfire_	K9us	Gold Block	270.0	6210.0	23	world	[-1851, 8, 1608]
2019	07	08	05	11	31	K9us	__Wildfire_	Gold Block	250.0	250.0	1	world	[31, 71, 8]
2019	07	08	13	42	51	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	08	13	42	54	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	08	13	42	55	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	08	13	42	56	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	08	13	42	56	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	08	13	42	57	pepparkaksgubbe	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	09	19	59	06	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	09	19	59	10	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	09	19	59	12	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	10	19	54	21	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	10	19	54	22	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	10	19	54	22	kuraudosukei	K9us	Gold Block	80.0	80.0	1	world	[54, 72, -5]
2019	07	12	17	20	48	Aewheros	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	20	03	kuraudosukei	__Wildfire_	Gold Block	80.0	5120.0	64	world	[31, 71, 8]
2019	07	13	00	20	05	kuraudosukei	__Wildfire_	Gold Block	80.0	5120.0	64	world	[31, 71, 8]
2019	07	13	00	20	05	kuraudosukei	__Wildfire_	Gold Block	80.0	5120.0	64	world	[31, 71, 8]
2019	07	13	00	20	07	kuraudosukei	__Wildfire_	Gold Block	80.0	5120.0	64	world	[31, 71, 8]
2019	07	13	00	20	13	kuraudosukei	__Wildfire_	Gold Block	70.0	4480.0	64	world	[31, 72, 8]
2019	07	13	00	25	13	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	26	18	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	33	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	34	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	35	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	37	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	38	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	00	27	39	sparkXstorm	__Wildfire_	Gold Block	60.0	3840.0	64	world	[31, 73, 8]
2019	07	13	15	21	36	kuraudosukei	__Wildfire_	Gold Block	60.0	60.0	1	world	[31, 73, 8]
2019	07	13	15	21	38	kuraudosukei	__Wildfire_	Gold Block	60.0	60.0	1	world	[31, 73, 8]
2019	07	13	15	21	39	kuraudosukei	__Wildfire_	Gold Block	60.0	60.0	1	world	[31, 73, 8]
2019	07	13	15	21	40	kuraudosukei	__Wildfire_	Gold Block	60.0	60.0	1	world	[31, 73, 8]
2019	07	13	15	21	41	kuraudosukei	__Wildfire_	Gold Block	70.0	70.0	1	world	[31, 72, 8]
2019	07	13	15	21	42	kuraudosukei	__Wildfire_	Gold Block	70.0	70.0	1	world	[31, 72, 8]
2019	07	13	15	21	42	kuraudosukei	__Wildfire_	Gold Block	70.0	70.0	1	world	[31, 72, 8]
2019	07	13	15	21	43	kuraudosukei	__Wildfire_	Gold Block	70.0	70.0	1	world	[31, 72, 8]
2019	07	13	15	21	43	kuraudosukei	__Wildfire_	Gold Block	70.0	70.0	1	world	[31, 72, 8]
2019	07	13	20	38	07	Vivifoxx	__Wildfire_	Gold Block	90.0	90.0	1	world	[31, 70, 8]
2019	07	13	20	38	08	Vivifoxx	__Wildfire_	Gold Block	90.0	90.0	1	world	[31, 70, 8]
2019	07	13	20	38	09	Vivifoxx	__Wildfire_	Gold Block	90.0	90.0	1	world	[31, 70, 8]
2019	07	13	20	38	10	Vivifoxx	__Wildfire_	Gold Block	90.0	90.0	1	world	[31, 70, 8]
2019	07	13	20	38	10	Vivifoxx	__Wildfire_	Gold Block	90.0	90.0	1	world	[31, 70, 8]
