date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/11 11:06:01	Stormrunners	K9us	Gold Ingot	150.0	150.0	1	world	[36, 72, -21]
2018/09/11 11:06:02	Stormrunners	K9us	Gold Ingot	150.0	150.0	1	world	[36, 72, -21]
2018/09/11 11:06:07	Stormrunners	K9us	Gold Ingot	150.0	150.0	1	world	[36, 72, -21]
2018/09/18 19:56:11	sharonclaws	K9us	Gold Ingot	490.0	490.0	1	world	[38, 72, -21]
2018/09/23 05:05:26	Butokuden	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/23 05:05:27	Butokuden	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/23 05:05:28	Butokuden	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/23 05:05:29	Butokuden	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/23 05:05:30	Butokuden	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/26 05:35:17	Jesper1972	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/26 05:35:19	Jesper1972	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/26 05:35:20	Jesper1972	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/29 13:41:34	Daria_Knight	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/29 13:41:36	Daria_Knight	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/09/29 13:41:37	Daria_Knight	K9us	Gold Ingot	395.0	395.0	1	world	[57, 71, -15]
2018/10/04 14:34:46	frozenhammerz	K9us	Gold Ingot	395.0	25280.0	64	world	[57, 71, -15]
2018/10/04 14:34:49	frozenhammerz	K9us	Gold Ingot	395.0	25280.0	64	world	[57, 71, -15]
2018/10/04 14:35:40	frozenhammerz	K9us	Gold Ingot	395.0	25280.0	64	world	[57, 71, -15]
2018/10/04 14:35:41	frozenhammerz	K9us	Gold Ingot	395.0	25280.0	64	world	[57, 71, -15]
2018/10/04 14:35:41	frozenhammerz	K9us	Gold Ingot	395.0	24095.0	61	world	[57, 71, -15]
2018/10/08 19:41:06	pudzo	Baskerboss	Gold Ingot	50.0	3200.0	64	world	[106, 92, -13]
2018/10/19 15:19:07	NorraLigan	K9us	Gold Ingot	170.0	170.0	1	world	[57, 71, -15]
2018/10/19 15:19:08	NorraLigan	K9us	Gold Ingot	170.0	170.0	1	world	[57, 71, -15]
2018/10/19 15:22:57	NorraLigan	K9us	Gold Ingot	170.0	170.0	1	world	[57, 71, -15]
2018/10/30 09:40:54	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:55	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:56	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:57	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:58	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:58	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:59	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:40:59	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/30 09:41:00	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/10/31 04:14:12	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:24	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:25	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:26	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:26	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:27	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:27	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:28	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[32, 71, 6]
2018/11/02 05:07:29	K9us	__Wildfire_	Gold Ingot	101.5625	2031.25	20	world	[32, 71, 6]
2018/11/03 18:08:05	ersi	K9us	Gold Ingot	1000.0	1000.0	1	world	[-1959, 66, 1537]
2018/11/03 18:19:35	__Wildfire_	K9us	Gold Ingot	150.0	150.0	1	world	[57, 71, -15]
2018/11/10 00:28:08	Engineerer	__Wildfire_	Gold Ingot	103.125	6600.0	64	world	[32, 71, 6]
2018/11/14 06:26:21	K9us	__Wildfire_	Gold Ingot	101.5625	6500.0	64	world	[31, 70, 8]
2018/11/15 07:04:50	K9us	__Wildfire_	Gold Ingot	85.9375	5500.0	64	world	[31, 71, 8]
2018/11/15 07:04:51	K9us	__Wildfire_	Gold Ingot	85.9375	5500.0	64	world	[31, 71, 8]
2018/11/19 22:23:35	Phantom_Ark	__Wildfire_	Gold Ingot	70.3125	4500.0	64	world	[31, 72, 8]
