year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	29	17	23	32	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	10	31	18	13	17	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	10	31	18	13	18	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	06	14	52	05	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	07	13	21	43	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	08	14	51	58	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	09	17	32	06	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	10	17	39	28	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	15	15	53	26	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	17	16	33	58	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	19	16	58	36	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	20	13	26	09	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	23	15	20	32	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	28	00	41	59	TheEzieDawg	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	11	29	16	06	03	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	04	16	34	41	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	07	12	05	59	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	08	15	57	18	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	11	15	30	20	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	15	16	15	36	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	18	16	58	59	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	26	16	31	25	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2018	12	27	16	09	25	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	04	17	06	00	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	07	15	16	26	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	09	16	24	00	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	11	18	07	02	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	21	16	42	53	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	22	14	45	45	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	01	23	17	52	43	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	01	17	38	15	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	07	16	24	01	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	08	15	23	17	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	08	15	34	31	freakdown	K9us	Gold Nugget#3U	50.0	3200.0	64	world	[22, 63, -7]
2019	02	12	15	44	27	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	14	16	32	05	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	16	14	29	33	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	02	26	17	12	55	Vivifoxx	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	03	08	19	29	13	Lego_UOE	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	03	08	19	29	14	Lego_UOE	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
2019	03	27	17	15	29	Stormrunners	K9us	Gold Nugget#3U	50.0	50.0	1	world	[22, 63, -7]
