date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/03 15:55:46	Heronproject	Combat_Biscuit	Golden Apple	500.0	500.0	1	world	[-47, 66, 41]
2018/09/03 15:55:48	Heronproject	Combat_Biscuit	Golden Apple	500.0	500.0	1	world	[-47, 66, 41]
2018/10/05 17:27:07	Dragonslair7	AteUrC00ki35	Golden Apple	100.0	100.0	1	world	[-348, 72, 83]
2018/12/07 21:04:16	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2018/12/07 21:04:16	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2018/12/07 21:04:17	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2018/12/07 21:04:18	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2018/12/07 21:04:18	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2019/01/14 01:12:07	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2019/01/14 01:12:09	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2019/01/14 01:12:10	freakdown	AteUrC00ki35	Golden Apple	2000.0	2000.0	1	world	[-348, 72, 83]
2019/03/23 00:31:52	NullCase	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:31:53	NullCase	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:31:55	NullCase	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:31:56	NullCase	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:31:56	NullCase	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:32:21	ezrone	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:32:22	ezrone	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:32:22	ezrone	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:32:23	ezrone	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/03/23 00:32:25	ezrone	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:42	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:43	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:44	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:44	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:45	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:45	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:46	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:47	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:47	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:48	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:49	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:49	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:50	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:50	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:51	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:55	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:56	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
2019/04/14 01:15:56	daboogaoogaman	coconewell92	Golden Apple	750.0	750.0	1	world	[259, 79, 181]
