date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/03 14:12:12	HandyEric3	sharonclaws	Golden Axe	5000.0	5000.0	1	world	[-10, 64, 8]
2018/09/04 19:23:17	cameronbelt	sharonclaws	Golden Axe	5000.0	5000.0	1	world	[-10, 64, 8]
2018/09/04 19:44:31	cameronbelt	sharonclaws	Golden Axe	5000.0	5000.0	1	world	[-10, 64, 8]
2018/09/08 19:12:38	frozenhammerz	sharonclaws	Golden Axe	5000.0	5000.0	1	world	[-10, 64, 8]
2018/09/10 13:19:34	Char1348294	sharonclaws	Golden Axe	5000.0	5000.0	1	world	[-10, 64, 8]
2018/09/16 14:37:55	Char1348294	sharonclaws	Golden Axe	4000.0	4000.0	1	world	[-10, 64, 8]
2018/09/17 13:51:37	frozenhammerz	sharonclaws	Golden Axe	4000.0	4000.0	1	world	[-10, 64, 8]
2018/09/21 13:26:59	3thanat0r	sharonclaws	Golden Axe	1500.0	1500.0	1	world	[-10, 64, 8]
2018/09/30 23:00:47	Dragonslair7	K9us	Golden Axe	1100.0	1100.0	1	world	[31, 70, -25]
2018/10/02 06:14:10	DjungelJarl	K9us	Golden Axe	1100.0	1100.0	1	world	[31, 70, -25]
2018/10/12 18:51:08	Cardano_ff	sharonclaws	Golden Axe	500.0	500.0	1	world	[-8, 64, 12]
2018/10/12 21:29:32	pudzo	sharonclaws	Golden Axe	500.0	500.0	1	world	[-8, 64, 12]
2018/10/17 23:45:10	Mr_Digs	sharonclaws	Golden Axe	500.0	500.0	1	world	[-10, 65, 13]
2018/10/27 03:41:29	NorraLigan	sharonclaws	Golden Axe	500.0	500.0	1	world	[-10, 65, 13]
2018/10/29 17:27:14	daggvad	sharonclaws	Golden Axe	500.0	500.0	1	world	[-10, 65, 13]
2018/10/31 23:21:40	asumcookie	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/11/02 20:46:21	asumcookie	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/11/08 17:06:35	Mowilag	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/11/12 16:03:22	Impression28	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/11/15 13:39:55	Rille3000	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/11/25 16:50:52	pudzo	sharonclaws	Golden Axe	500.0	500.0	1	world	[-10, 64, 13]
2018/11/30 13:44:56	Nebulas_	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2018/12/24 10:50:37	ThomasDaFarmer	K9us	Golden Axe	400.0	400.0	1	world	[31, 70, -25]
2019/01/16 20:10:40	Cardano_ff	sharonclaws	Golden Axe	500.0	500.0	1	world	[-10, 64, 13]
2019/01/18 13:14:47	GermanMiner	K9us	Golden Axe	350.0	350.0	1	world	[31, 72, -28]
2019/01/18 13:14:48	GermanFighter	K9us	Golden Axe	350.0	350.0	1	world	[31, 72, -28]
2019/01/25 11:04:24	monkeyboy448	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/01/27 08:28:32	EnDristON	K9us	Golden Axe	150.0	150.0	1	world	[31, 72, -28]
2019/01/27 12:51:14	Magranon	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/01/28 20:29:09	UnToasted	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/01/28 21:15:08	nilssssss	K9us	Golden Axe	150.0	150.0	1	world	[31, 72, -28]
2019/01/28 21:43:48	nilssssss	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/01/29 02:10:21	Zarigan0	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/01/31 21:44:33	Shahayhay	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/01 19:31:09	yoikosugi	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/06 10:23:14	Aewheros	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/09 15:41:06	AshGreninja2579	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/20 20:22:08	BelegStrongbow	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/21 23:56:34	Mr_Digs	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/24 09:41:56	Dinonanna	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/02/24 14:57:53	EnDristON	sharonclaws	Golden Axe	120.0	120.0	1	world	[-15, 66, 15]
2019/03/06 17:45:36	ezrone	K9us	Golden Axe	150.0	150.0	1	world	[31, 72, -28]
2019/03/07 18:14:23	ezrone	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/03/09 17:35:01	Aewheros	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/03/30 22:16:32	TheGrimShow	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/04/01 06:28:42	freakdown	K9us	Golden Axe	150.0	150.0	1	world	[31, 72, -28]
2019/04/01 21:37:36	Meyoo	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/04/25 23:10:37	sparkXstorm	K9us	Golden Axe	150.0	150.0	1	world	[31, 72, -28]
2019/05/03 20:23:12	daboogaoogaman	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/05/09 20:23:39	daboogaoogaman	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/05/09 20:23:40	daboogaoogaman	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/05/09 20:23:44	daboogaoogaman	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/06/07 13:32:03	Th3FerrariStig2	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/06/28 07:40:11	jackcam6	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
2019/06/30 20:46:17	kahlayla	sharonclaws	Golden Axe	200.0	200.0	1	world	[-14, 57, 8]
