year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	07	00	19	00	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	07	00	19	00	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	07	00	19	01	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	07	00	19	01	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	07	00	19	02	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	10	03	31	39	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	10	03	31	40	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	11	14	36	39	NorraLigan	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	12	18	28	32	Heronproject	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	01	22	14	50	52	Stormrunners	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	02	01	22	13	34	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	02	02	19	23	06	JacobSterling	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[34, 72, 13]
2019	02	04	21	41	40	JacobSterling	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	05	19	34	44	freakdown	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	06	14	26	41	Mr_Digs	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	11	23	07	50	Mr_Digs	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	16	11	54	30	Mowilag	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	16	11	54	58	Mowilag	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	21	16	32	39	NorraLigan	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	22	00	31	50	Mr_Digs	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	02	27	15	22	54	Mr_Digs	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	03	07	21	57	42	JacobSterling	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	03	23	16	11	21	ezrone	EnDristON	Golden Carrot	10.0	50.0	5	world	[265, 79, 126]
2019	03	23	16	11	22	ezrone	EnDristON	Golden Carrot	10.0	10.0	1	world	[265, 79, 126]
2019	04	07	13	52	59	darkraysplash	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	13	53	12	darkraysplash	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	11	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	12	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	14	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	15	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	16	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	25	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	26	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	26	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	27	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	09	29	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	12	53	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	12	54	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	12	54	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	40	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	41	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	41	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	42	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	43	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	44	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	44	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	45	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	45	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	46	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	47	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	47	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	48	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	49	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	20	25	49	Haksndot	__Wildfire_	Golden Carrot	31.25	1875.0	60	world	[33, 71, 10]
2019	04	07	21	29	31	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	21	29	32	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	07	21	29	33	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	20	12	42	26	Haksndot	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	30	01	13	52	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	04	30	01	13	53	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	01	06	14	41	frozenhammerz	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	01	06	14	50	K9us	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	02	12	54	43	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	02	12	54	44	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	02	12	54	45	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	03	23	20	40	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	05	14	29	07	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	05	14	29	08	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	06	18	20	48	frozenhammerz	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	16	23	00	21	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	17	12	35	17	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	17	12	35	17	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	17	12	35	23	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	18	16	25	23	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	18	16	25	24	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	25	15	35	24	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	26	03	02	58	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	26	14	46	32	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	26	14	46	33	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	26	14	46	36	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	27	17	08	29	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	27	17	08	30	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	27	17	08	30	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
2019	05	27	17	08	32	daboogaoogaman	__Wildfire_	Golden Carrot	31.25	2000.0	64	world	[33, 71, 10]
