year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	20	17	04	55	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	56	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	56	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	57	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	57	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	58	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	59	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	04	59	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	00	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	00	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	01	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	02	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	02	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	03	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	03	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	04	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	05	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	05	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	05	06	Haksndot	K9us	Gravel	2.0	84.0	42	world	[49, 71, -22]
2018	09	20	17	06	55	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	06	56	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	06	57	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	06	57	Haksndot	K9us	Gravel	2.0	128.0	64	world	[49, 71, -22]
2018	09	20	17	06	58	Haksndot	K9us	Gravel	2.0	46.0	23	world	[49, 71, -22]
2018	10	01	22	16	23	Shahayhay	__Wildfire_	Gravel	52.08328125	3333.33	64	world	[32, 77, 12]
2018	10	03	23	09	45	Shahayhay	__Wildfire_	Gravel	52.08328125	3333.33	64	world	[32, 77, 12]
2018	10	05	05	09	15	frozenhammerz	K9us	Gravel	4.0	256.0	64	world	[49, 71, -22]
2018	10	05	05	09	15	frozenhammerz	K9us	Gravel	4.0	88.0	22	world	[49, 71, -22]
2018	10	06	13	01	14	Shahayhay	__Wildfire_	Gravel	52.08328125	3333.33	64	world	[32, 77, 12]
2018	10	06	13	01	15	Shahayhay	__Wildfire_	Gravel	52.08328125	3333.33	64	world	[32, 77, 12]
2018	11	24	15	23	58	Aewheros	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	06	09	frozenhammerz	K9us	Gravel	12.0	12.0	1	world	[-1865, 13, 1572]
2018	11	26	12	06	13	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	06	15	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	06	16	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	06	19	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	09	38	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	39	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	39	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	40	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	41	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	42	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	09	42	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	11	26	12	10	48	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	10	49	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	10	50	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	10	50	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	26	12	10	51	frozenhammerz	K9us	Gravel	12.0	624.0	52	world	[-1865, 13, 1572]
2018	11	28	05	31	07	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	08	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	08	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	09	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	29	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	29	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	30	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	30	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	36	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	36	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	37	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	38	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	44	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	11	28	05	31	44	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	12	04	18	33	07	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	12	04	18	33	08	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	12	04	18	33	08	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	12	04	18	33	09	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2018	12	04	18	33	09	frozenhammerz	K9us	Gravel	12.0	132.0	11	world	[-1865, 13, 1572]
2018	12	04	18	33	11	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	04	18	33	12	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	04	18	33	14	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	04	18	33	14	frozenhammerz	K9us	Gravel	15.0	795.0	53	world	[-1865, 12, 1572]
2018	12	07	00	56	47	freakdown	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	07	00	56	47	freakdown	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	07	00	56	48	freakdown	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2018	12	07	00	56	49	freakdown	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	01	06	00	22	15	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	06	00	22	17	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	06	00	22	20	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	06	00	22	21	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	06	00	22	22	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	07	10	41	53	NorraLigan	K9us	Gravel	3.0	30.0	10	world	[-2496, 15, 1259]
2019	01	07	10	51	49	NorraLigan	K9us	Gravel	1.0	10.0	10	world	[-2496, 15, 1259]
2019	01	13	21	09	15	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	13	21	09	15	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	13	21	09	16	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	13	21	09	16	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	01	22	14	20	26	NorraLigan	K9us	Gravel	1.0	10.0	10	world	[-2496, 15, 1259]
2019	01	22	14	20	27	NorraLigan	K9us	Gravel	1.0	10.0	10	world	[-2496, 15, 1259]
2019	01	25	14	46	24	NorraLigan	K9us	Gravel	1.0	10.0	10	world	[-2496, 15, 1259]
2019	01	25	14	46	37	NorraLigan	K9us	Gravel	1.0	10.0	10	world	[-2496, 15, 1259]
2019	01	31	02	47	58	__Wildfire_	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	07	01	42	05	freakdown	K9us	Gravel	33.0	2112.0	64	world	[-1865, 6, 1572]
2019	02	07	01	42	06	freakdown	K9us	Gravel	33.0	2112.0	64	world	[-1865, 6, 1572]
2019	02	07	01	42	08	freakdown	K9us	Gravel	33.0	2112.0	64	world	[-1865, 6, 1572]
2019	02	07	01	42	17	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	07	01	42	19	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	07	01	42	21	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	07	01	42	22	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	07	01	42	29	freakdown	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	15	16	30	10	Mr_Digs	K9us	Gravel	6.0	6.0	1	world	[-1865, 15, 1572]
2019	02	15	16	30	11	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	15	16	30	12	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	15	16	30	13	Mr_Digs	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	02	15	16	30	15	Mr_Digs	K9us	Gravel	6.0	378.0	63	world	[-1865, 15, 1572]
2019	02	21	02	29	07	Vallenius	K9us	Gravel	50.0	50.0	1	world	[39, 71, -24]
2019	02	21	02	29	30	Vallenius	K9us	Gravel	50.0	3200.0	64	world	[39, 71, -24]
2019	02	21	02	29	32	Vallenius	K9us	Gravel	50.0	3200.0	64	world	[39, 71, -24]
2019	03	13	04	03	50	dandenoth	K9us	Gravel	50.0	50.0	1	world	[39, 71, -24]
2019	03	14	00	27	28	dandenoth	K9us	Gravel	50.0	50.0	1	world	[39, 71, -24]
2019	04	06	13	54	59	sharonclaws	ezrone	Gravel	20.0	1280.0	64	world	[259, 79, 160]
2019	04	06	13	55	00	sharonclaws	ezrone	Gravel	20.0	1280.0	64	world	[259, 79, 160]
2019	04	07	18	10	32	frozenhammerz	K9us	Gravel	50.0	3200.0	64	world	[39, 71, -24]
2019	04	07	18	45	04	frozenhammerz	K9us	Gravel	50.0	3200.0	64	world	[39, 71, -24]
2019	04	08	16	43	33	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	43	33	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	43	35	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	43	35	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	43	36	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	43	37	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	00	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	01	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	55	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	56	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	57	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	08	16	44	58	frozenhammerz	K9us	Gravel	6.0	312.0	52	world	[-1865, 15, 1572]
2019	04	08	16	45	46	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	45	46	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	45	47	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	45	48	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	46	29	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	46	30	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	46	31	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	46	31	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	46	35	frozenhammerz	K9us	Gravel	15.0	960.0	64	world	[-1865, 12, 1572]
2019	04	08	16	47	13	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2019	04	08	16	47	14	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2019	04	08	16	47	15	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2019	04	08	16	47	16	frozenhammerz	K9us	Gravel	12.0	768.0	64	world	[-1865, 13, 1572]
2019	04	10	00	08	54	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	10	00	08	54	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	10	00	08	55	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	10	00	08	57	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	10	00	08	58	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	10	00	08	59	daboogaoogaman	Remix_D_Miner	Gravel	31.25	1000.0	32	world	[62, 79, 26]
2019	04	13	17	18	31	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	13	17	18	33	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	13	17	18	36	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	13	17	18	36	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	13	17	18	37	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	13	17	18	37	daboogaoogaman	Remix_D_Miner	Gravel	31.25	2000.0	64	world	[62, 79, 26]
2019	04	29	08	27	55	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	29	08	27	56	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
2019	04	29	08	27	57	frozenhammerz	K9us	Gravel	6.0	384.0	64	world	[-1865, 15, 1572]
