year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	06	18	40	22	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	22	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	23	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	24	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	24	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	25	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	26	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	26	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	50.0	8	world	[-49, 65, 34]
2018	10	06	18	40	41	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	400.0	64	world	[-49, 65, 34]
2018	10	06	18	40	44	Shahayhay	WoopidyDoopidy	Gray Wool	6.25	100.0	16	world	[-49, 65, 34]
2018	10	22	22	33	34	Captain_Handsome	Remixster	Gray Wool	6.875	55.0	8	world	[101, 70, 34]
2018	11	07	17	57	31	Aewheros	Remixster	Gray Wool	6.875	55.0	8	world	[101, 70, 34]
2018	11	29	16	40	07	K9us	Remixster	Gray Wool	6.875	440.0	64	world	[101, 70, 34]
2018	11	29	16	40	13	K9us	Remixster	Gray Wool	6.8751612903225805	213.13	31	world	[101, 70, 34]
2018	12	23	10	36	00	DIOSWILSON	Remixster	Gray Wool	6.875	440.0	64	world	[101, 70, 34]
2018	12	23	10	36	02	DIOSWILSON	Remixster	Gray Wool	6.875384615384615	89.38	13	world	[101, 70, 34]
2018	12	23	21	11	14	__Wildfire_	Remixster	Gray Wool	6.876	34.38	5	world	[101, 70, 34]
2019	04	01	20	54	51	Shahayhay	Remix_D_Miner	Gray Wool	6.875	440.0	64	world	[101, 70, 34]
2019	04	01	20	54	54	Shahayhay	Remix_D_Miner	Gray Wool	6.875	68.75	10	world	[101, 70, 34]
2019	05	04	21	29	57	__Wildfire_	Remix_D_Miner	Gray Wool	6.875	440.0	64	world	[99, 70, 45]
2019	05	12	18	48	54	magemagemege	Remix_D_Miner	Gray Wool	6.875	55.0	8	world	[99, 70, 45]
2019	05	12	18	48	55	magemagemege	Remix_D_Miner	Gray Wool	6.876	34.38	5	world	[99, 70, 45]
2019	05	12	18	51	12	magemagemege	Remix_D_Miner	Gray Wool	6.875	440.0	64	world	[99, 70, 45]
2019	05	17	08	26	31	K9us	Remix_D_Miner	Gray Wool	6.875	55.0	8	world	[99, 70, 45]
