year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	10	20	20	06	39	StanleyC	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	10	20	20	06	41	StanleyC	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	10	20	20	06	47	StanleyC	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	10	20	20	06	49	StanleyC	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	10	29	18	00	21	daboogaoogaman	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	10	29	18	53	53	daboogaoogaman	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	12	20	05	22	45	Marcus265	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2019	12	21	15	15	54	mendor77	Vallenius	Green Dye	8.0	8.0	1	world	[-10, 57, 22]
2019	12	30	02	16	37	freakdown	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	01	11	10	13	04	jtl0350	Vallenius	Green Dye	8.0	512.0	64	world	[-10, 57, 22]
2020	02	04	08	35	49	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	50	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	52	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	53	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	53	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	54	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	55	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	55	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	56	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	56	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	57	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	58	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	58	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	35	59	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	02	04	08	36	00	Thoreu	Remix_D_Miner	Green Dye	0.515625	33.0	64	world	[56, 72, 16]
2020	03	10	16	26	07	Minarchu	Vallenius	Green Dye	8.0	8.0	1	world	[-10, 57, 22]
2020	03	12	18	42	22	VeillofSorrow	Vallenius	Green Dye	8.0	512.0	64	world	[-10, 57, 22]
