year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	10	16	02	50	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	50	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	51	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	51	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	52	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	53	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	53	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	10	16	02	54	MyNameIsTree	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	09	15	23	16	18	sharonclaws	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	10	13	13	11	35	Ture2012	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	24	12	38	47	G4t1t4M1m0s4	Remixster	Green Wool	6.875	440.0	64	world	[95, 70, 40]
2018	12	28	21	24	43	Captain_Handsome	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	28	21	24	44	Captain_Handsome	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	28	21	24	44	Captain_Handsome	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	28	21	24	45	Captain_Handsome	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	28	21	24	46	Captain_Handsome	Remixster	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2018	12	28	21	24	46	Captain_Handsome	Remixster	Green Wool	6.875	27.5	4	world	[95, 70, 40]
2019	04	08	14	30	02	AshGreninja2579	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[95, 70, 40]
2019	04	09	14	01	13	Aewheros	Remix_D_Miner	Green Wool	6.875217391304347	158.13	23	world	[95, 70, 40]
2019	04	10	10	05	08	dandenoth	Vivifoxx	Green Wool	4.0	128.0	32	world	[323, 78, 25]
2019	04	17	00	53	14	dandenoth	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[107, 69, 40]
2019	04	30	23	51	43	daboogaoogaman	Remix_D_Miner	Green Wool	6.875	440.0	64	world	[107, 69, 40]
2019	05	12	18	44	34	magemagemege	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[107, 69, 40]
2019	05	12	18	44	35	magemagemege	Remix_D_Miner	Green Wool	6.875	41.25	6	world	[107, 69, 40]
2019	05	12	19	01	19	magemagemege	Remix_D_Miner	Green Wool	6.875	440.0	64	world	[107, 69, 40]
2019	05	29	14	04	11	K9us	Vivifoxx	Green Wool	4.0	256.0	64	world	[323, 78, 25]
2019	05	29	14	04	11	K9us	Vivifoxx	Green Wool	4.0	256.0	64	world	[323, 78, 25]
2019	05	31	12	57	43	K9us	Vivifoxx	Green Wool	4.0	256.0	64	world	[323, 78, 25]
2019	05	31	12	57	45	K9us	Vivifoxx	Green Wool	4.0	256.0	64	world	[323, 78, 25]
2019	07	15	22	30	33	Mongoose_136	Remix_D_Miner	Green Wool	6.876	34.38	5	world	[107, 69, 40]
2019	08	19	21	57	45	TheNormalToast	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[107, 69, 40]
2019	09	03	21	06	54	AC391694	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[107, 69, 40]
2019	09	03	21	06	55	AC391694	Remix_D_Miner	Green Wool	6.875	55.0	8	world	[107, 69, 40]
