date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/10 20:33:59	Haksndot	sharonclaws	Gunpowder	1000.0	64000.0	64	world	[-10, 64, 7]
2018/09/10 20:34:00	Haksndot	sharonclaws	Gunpowder	1000.0	64000.0	64	world	[-10, 64, 7]
2018/09/12 17:08:06	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:07	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:08	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:08	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:09	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:09	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:10	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:10	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:11	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:11	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:12	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:12	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:13	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:14	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:14	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:21	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:22	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:23	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:23	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:24	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:24	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:25	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:26	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:27	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:27	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:28	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:29	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:32	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:33	Baskerboss	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 17:08:34	Baskerboss	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/12 17:08:46	Baskerboss	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/12 17:51:13	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/12 23:50:29	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:29	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:30	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:30	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:31	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:32	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:33	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/12 23:50:34	Shahayhay	sharonclaws	Gunpowder	300.0	300.0	1	world	[-10, 64, 7]
2018/09/13 12:03:44	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/13 12:03:45	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/13 12:03:45	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/13 12:03:46	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/13 12:03:46	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
2018/09/13 12:03:47	frozenhammerz	sharonclaws	Gunpowder	300.0	19200.0	64	world	[-10, 64, 7]
