year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	19	04	50	24	frozenhammerz	ersi	Hopper	1500.0	96000.0	64	world	[-1985, 65, 1550]
2018	11	19	04	50	25	frozenhammerz	ersi	Hopper	1500.0	96000.0	64	world	[-1985, 65, 1550]
2018	11	19	04	50	27	frozenhammerz	ersi	Hopper	1500.0	96000.0	64	world	[-1985, 65, 1550]
2019	01	08	01	33	27	freakdown	K9us	Hopper	102.0	2244.0	22	world	[-1844, 18, 1599]
2019	02	02	22	42	30	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	02	22	42	31	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	03	15	01	27	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	03	15	01	28	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	03	15	01	28	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	03	15	01	29	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	07	23	53	36	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	07	23	53	37	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	07	23	53	38	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	07	23	53	43	nilssssss	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	10	04	56	51	NorraLigan	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	02	24	13	46	27	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	28	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	29	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	30	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	31	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	32	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	32	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	02	24	13	46	33	Aewheros	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	03	10	21	43	20	coconewell92	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	03	16	21	00	14	ezrone	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	03	17	00	00	14	Colonel_Ruff	EnDristON	Hopper	250.0	7000.0	28	world	[262, 91, 126]
2019	03	29	00	05	33	coconewell92	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	03	30	15	41	32	coconewell92	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	04	17	32	08	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	09	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	10	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	10	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	11	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	12	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	12	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	13	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	14	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	04	17	32	15	EnDristON	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	05	18	24	59	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	05	18	25	00	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	05	18	25	01	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	05	18	25	01	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	05	18	25	02	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	07	22	09	51	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	37	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	37	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	38	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	39	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	39	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	40	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	41	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	41	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	42	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	43	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	43	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	44	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	45	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	46	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	46	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	47	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	48	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	48	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	49	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	50	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	56	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	57	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	06	27	58	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	07	06	17	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	08	07	06	18	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	13	16	09	18	Technerd05	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	13	16	09	19	Technerd05	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	13	16	09	21	Technerd05	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	26	15	19	25	AshGreninja2579	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	26	15	33	04	AshGreninja2579	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	04	29	17	57	27	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	28	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	29	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	29	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	30	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	30	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	31	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	32	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	32	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	33	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	34	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	35	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	35	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	36	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	36	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	37	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	38	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	38	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	39	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	40	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	04	29	17	57	41	daboogaoogaman	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	05	03	06	27	05	frozenhammerz	K9us	Hopper	102.0	102.0	1	world	[-1844, 18, 1599]
2019	06	05	23	06	04	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	13	20	48	00	daboogaoogaman	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	06	26	18	44	50	Oaken_Ralph	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	06	26	18	45	16	Oaken_Ralph	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	06	26	18	45	17	Oaken_Ralph	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	06	26	18	45	17	Oaken_Ralph	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	06	26	18	45	18	Oaken_Ralph	EnDristON	Hopper	250.0	250.0	1	world	[262, 91, 126]
2019	06	26	18	45	19	Oaken_Ralph	EnDristON	Hopper	250.0	1750.0	7	world	[262, 91, 126]
2019	06	26	18	46	55	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	26	18	46	56	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	26	18	46	57	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	26	18	46	58	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	26	18	46	58	Oaken_Ralph	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	06	29	00	03	51	Oaken_Ralph	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	06	29	00	03	53	Oaken_Ralph	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	06	29	00	03	58	Oaken_Ralph	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	07	13	10	25	22	sparkXstorm	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	07	13	10	25	27	sparkXstorm	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	07	13	10	26	07	sparkXstorm	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	07	13	10	26	08	sparkXstorm	__Wildfire_	Hopper	100.0	6400.0	64	world	[33, 73, 10]
2019	07	29	22	38	34	daboogaoogaman	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	07	29	22	38	34	daboogaoogaman	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	07	29	22	38	35	daboogaoogaman	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	07	29	22	38	36	daboogaoogaman	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
2019	07	29	22	38	37	daboogaoogaman	__Wildfire_	Hopper	100.0	100.0	1	world	[33, 73, 10]
