year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	14	10	00	57	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	03	14	10	23	38	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	03	14	10	23	39	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	55	59	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	00	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	00	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	01	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	01	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	02	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	02	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	03	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	04	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	04	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	05	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	06	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	06	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	07	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	08	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	08	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	14	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	15	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	16	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	16	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	17	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	17	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	18	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	19	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	20	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	04	29	16	56	20	daboogaoogaman	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	03	07	31	55	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	03	07	31	56	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	03	07	31	57	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	03	07	32	45	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	03	07	32	46	frozenhammerz	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2019	05	31	12	32	15	K9us	Aewheros	Horn Coral Block	1000.0	1000.0	1	world	[107, 49, -53]
2020	01	26	19	09	11	Haksndot	Aewheros	Horn Coral Block	1000.0	64000.0	64	world	[107, 49, -53]
