year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	02	15	53	20	nilssssss	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	03	16	25	18	nilssssss	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	07	23	45	14	nilssssss	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	07	23	45	14	nilssssss	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	17	07	43	53	NorraLigan	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	17	07	43	54	NorraLigan	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	02	17	07	44	59	NorraLigan	Aewheros	Horn Coral	500.0	14500.0	29	world	[105, 51, -55]
2019	03	14	10	00	45	frozenhammerz	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	52	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	53	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	53	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	54	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	55	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	56	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	56	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	04	29	16	55	57	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	05	03	07	31	51	frozenhammerz	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	05	03	07	31	51	frozenhammerz	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	05	03	07	31	52	frozenhammerz	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	05	09	23	47	33	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
2019	05	09	23	47	35	daboogaoogaman	Aewheros	Horn Coral	500.0	500.0	1	world	[105, 51, -55]
