year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	03	32	11	K9us	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[162, 63, -92]
2018	09	06	03	32	12	K9us	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[162, 63, -92]
2018	09	06	03	32	14	K9us	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[162, 63, -92]
2018	09	09	10	21	23	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	25	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	25	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	26	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	28	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	29	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	09	10	21	30	spfoia	fiddleswithstick	Ink Sac	240.0	240.0	1	world	[36, 71, -24]
2018	09	10	18	00	57	Shahayhay	steelpanmaster	Ink Sac	22.5	495.0	22	world	[-198, 63, -9]
2018	09	19	19	01	19	frozenhammerz	fiddleswithstick	Ink Sac	240.0	15360.0	64	world	[36, 71, -24]
2018	09	19	19	01	21	frozenhammerz	fiddleswithstick	Ink Sac	240.0	15360.0	64	world	[36, 71, -24]
2018	09	20	18	06	40	frozenhammerz	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	09	20	18	06	43	frozenhammerz	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	09	20	18	06	44	frozenhammerz	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	09	20	18	20	35	frozenhammerz	fiddleswithstick	Ink Sac	120.0	7680.0	64	world	[36, 71, -24]
2018	09	22	13	44	35	K9us	fiddleswithstick	Ink Sac	60.0	3720.0	62	world	[162, 63, -92]
2018	09	26	19	08	14	33_Shikamaru	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	09	27	08	47	21	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	22	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	23	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	24	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	24	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	25	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	26	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	27	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	28	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	29	K9us	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	09	27	08	47	30	K9us	fiddleswithstick	Ink Sac	60.0	1800.0	30	world	[162, 63, -92]
2018	09	30	23	13	58	Dragonslair7	Cardano_ff	Ink Sac	50.0	400.0	8	world	[5, 67, 7]
2018	10	02	21	32	16	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	18	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	18	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	19	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	19	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	20	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	20	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	21	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	33	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	34	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	36	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	37	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	38	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	38	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	39	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	40	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	40	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	42	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	43	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	02	21	32	45	AteUrC00ki35	fiddleswithstick	Ink Sac	60.0	60.0	1	world	[162, 63, -92]
2018	10	03	19	46	31	sharonclaws	Cardano_ff	Ink Sac	50.0	400.0	8	world	[5, 67, 7]
2018	10	03	20	02	49	Shahayhay	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	10	03	20	02	50	Shahayhay	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	10	03	20	02	50	Shahayhay	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	10	03	20	02	51	Shahayhay	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
2018	10	03	20	02	52	Shahayhay	fiddleswithstick	Ink Sac	120.0	120.0	1	world	[36, 71, -24]
