date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/06 12:48:44	NorraLigan	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/01/30 11:48:46	monkeyboy448	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/02 16:16:00	UnToasted	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/02 23:51:25	coconewell92	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/03 16:06:05	Mowilag	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/05 20:07:56	coconewell92	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/07 22:29:34	coconewell92	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/13 15:55:15	Vallenius	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/14 21:05:19	Mowilag	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/02/15 12:21:08	Vallenius	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/03/07 18:15:29	ezrone	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/03/10 13:57:44	Miljanee	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/03/10 21:57:57	Colonel_Ruff	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/03/14 19:50:55	Colonel_Ruff	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
2019/03/23 11:54:11	Colonel_Ruff	K9us	Iron Boots#7r	7700.0	7700.0	1	world	[32, 70, -19]
