year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	21	15	58	20	ZeroGDucks	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	01	30	11	37	53	monkeyboy448	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	02	02	16	16	05	UnToasted	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	02	02	23	51	20	coconewell92	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	02	05	20	08	00	coconewell92	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	02	07	22	29	22	coconewell92	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	02	24	10	50	21	Miljanee	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	03	07	18	15	25	ezrone	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	03	10	13	57	46	Miljanee	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	03	17	00	13	57	ezrone	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
2019	03	25	20	59	49	coconewell92	K9us	Iron Chestplate#7v	4800.0	4800.0	1	world	[32, 72, -19]
